ENTIDAD,NOM_ENT,MUN,NOM_MUN,AGEB,PEA,POBTOT,Porcentaje Pob. Activa,PE_INAC,Porcentaje Pob. Inactiva,POCUPADA,Porcentaje Pob. Ocupado,PDESOCUP,Porcentaje Pob. Desocupados
9,Distrito Federal,2,Azcapotzalco,0010,1398,3424,40.82943925233645,1511,44.12967289719626,1307,38.171728971962615,91,2.6577102803738315
9,Distrito Federal,2,Azcapotzalco,0025,2692,5912,45.53450608930988,2197,37.1617050067659,2529,42.77740189445196,163,2.757104194857916
9,Distrito Federal,2,Azcapotzalco,003A,1947,4638,41.97930142302717,1855,39.99568779646399,1818,39.19793014230272,129,2.78137128072445
9,Distrito Federal,2,Azcapotzalco,0044,2066,5007,41.26223287397644,2016,40.2636309167166,1936,38.66586778510086,130,2.596365088875574
9,Distrito Federal,2,Azcapotzalco,0097,923,2260,40.84070796460177,993,43.93805309734513,886,39.203539823008846,37,1.6371681415929202
9,Distrito Federal,2,Azcapotzalco,010A,1264,3385,37.34121122599704,1498,44.254062038404726,1199,35.420974889217135,65,1.9202363367799113
9,Distrito Federal,2,Azcapotzalco,0114,4741,10265,46.186069167072574,3418,33.29761324890404,4452,43.37067705796396,289,2.815392109108622
9,Distrito Federal,2,Azcapotzalco,0129,2315,5005,46.25374625374625,1536,30.689310689310688,2197,43.896103896103895,118,2.3576423576423577
9,Distrito Federal,2,Azcapotzalco,0133,3217,7028,45.77404667046101,2523,35.89926010244736,3064,43.597040409789415,153,2.1770062606715994
9,Distrito Federal,2,Azcapotzalco,0148,1127,2645,42.608695652173914,948,35.84120982986768,1076,40.68052930056711,51,1.9281663516068055
9,Distrito Federal,2,Azcapotzalco,0167,1494,3169,47.14420952982013,1107,34.93215525402335,1404,44.30419690754181,90,2.8400126222783215
9,Distrito Federal,2,Azcapotzalco,0171,1064,2466,43.14679643146796,988,40.06488240064882,1015,41.15977291159773,49,1.9870235198702353
9,Distrito Federal,2,Azcapotzalco,0186,3462,7474,46.32057800374632,2653,35.4963874765855,3331,44.56783516189457,131,1.7527428418517528
9,Distrito Federal,2,Azcapotzalco,0190,3499,7548,46.35665076841548,2688,35.6120826709062,3320,43.98516163222045,179,2.3714891361950188
9,Distrito Federal,2,Azcapotzalco,0203,2746,6107,44.964794498116916,2135,34.959882102505325,2644,43.29457999017521,102,1.6702145079417061
9,Distrito Federal,2,Azcapotzalco,0218,1832,3970,46.14609571788414,1443,36.34760705289673,1737,43.75314861460957,95,2.392947103274559
9,Distrito Federal,2,Azcapotzalco,0222,3124,6901,45.2688016229532,2476,35.878858136501954,2938,42.573540066657,186,2.695261556296189
9,Distrito Federal,2,Azcapotzalco,0237,2891,6355,45.491738788355626,2199,34.602675059008654,2756,43.36742722265932,135,2.1243115656963023
9,Distrito Federal,2,Azcapotzalco,0256,2006,4438,45.200540784137,1576,35.51149166291122,1924,43.35286164939161,82,1.847679134745381
9,Distrito Federal,2,Azcapotzalco,0260,1525,5150,29.61165048543689,2656,51.57281553398059,1452,28.194174757281555,73,1.4174757281553398
9,Distrito Federal,2,Azcapotzalco,0275,3479,7839,44.38066079857125,2784,35.514734022196706,3279,41.82931496364332,200,2.5513458349279245
9,Distrito Federal,2,Azcapotzalco,028A,1538,3257,47.22136935830519,1273,39.08504758980657,1485,45.59410500460547,53,1.6272643536997238
9,Distrito Federal,2,Azcapotzalco,0294,2518,5385,46.75951717734447,1849,34.33611884865367,2370,44.01114206128134,148,2.7483751160631384
9,Distrito Federal,2,Azcapotzalco,0307,2637,6178,42.68371641307866,2345,37.95726772418258,2488,40.271932664292656,149,2.4117837487860148
9,Distrito Federal,2,Azcapotzalco,0311,1593,3466,45.96076168493941,1284,37.04558568955568,1542,44.48932487016734,51,1.4714368147720716
9,Distrito Federal,2,Azcapotzalco,0326,3631,7255,50.04824259131634,2345,32.32253618194349,3434,47.3328738800827,197,2.715368711233632
9,Distrito Federal,2,Azcapotzalco,0330,1175,2442,48.11629811629812,821,33.619983619983614,1094,44.799344799344794,81,3.3169533169533167
9,Distrito Federal,2,Azcapotzalco,0345,1411,3821,36.92750588851086,1729,45.249934572101544,1331,34.83381313792201,80,2.093692750588851
9,Distrito Federal,2,Azcapotzalco,035A,2141,4788,44.71595655806182,1702,35.54720133667502,2027,42.33500417710944,114,2.380952380952381
9,Distrito Federal,2,Azcapotzalco,0364,1625,3744,43.40277777777778,1429,38.16773504273504,1563,41.746794871794876,62,1.655982905982906
9,Distrito Federal,2,Azcapotzalco,0379,2241,5070,44.201183431952664,1861,36.70611439842209,2072,40.86785009861933,169,3.3333333333333335
9,Distrito Federal,2,Azcapotzalco,0383,1998,4267,46.82446683852824,1398,32.763065385516754,1913,44.83243496601828,85,1.9920318725099602
9,Distrito Federal,2,Azcapotzalco,0398,1923,4103,46.86814525956617,1479,36.04679502802827,1801,43.894711186936384,122,2.973434072629783
9,Distrito Federal,2,Azcapotzalco,0400,1896,4042,46.90747154873825,1433,35.45274616526472,1796,44.43344878772885,100,2.4740227610094014
9,Distrito Federal,2,Azcapotzalco,0415,1885,4280,44.04205607476636,1691,39.50934579439252,1812,42.33644859813084,73,1.705607476635514
9,Distrito Federal,2,Azcapotzalco,0434,1209,3071,39.3682839465972,1300,42.33148811462065,1142,37.18658417453598,67,2.1816997720612177
9,Distrito Federal,2,Azcapotzalco,0449,1184,2959,40.01351808043258,1296,43.79858060155458,1130,38.18857722203447,54,1.8249408583981073
9,Distrito Federal,2,Azcapotzalco,0468,1573,3316,47.43667068757539,1166,35.16284680337756,1491,44.96381182147166,82,2.4728588661037394
9,Distrito Federal,2,Azcapotzalco,0472,3040,6395,47.537138389366696,2126,33.24472243940579,2894,45.25410476935106,146,2.2830336200156376
9,Distrito Federal,2,Azcapotzalco,0487,1810,3921,46.16169344554961,1421,36.24075490946187,1730,44.12139760265239,80,2.04029584289722
9,Distrito Federal,2,Azcapotzalco,0491,2801,6048,46.31283068783068,2287,37.81415343915344,2668,44.113756613756614,133,2.199074074074074
9,Distrito Federal,2,Azcapotzalco,0504,2183,4623,47.220419640925805,1730,37.42158771360589,2066,44.689595500757086,117,2.5308241401687215
9,Distrito Federal,2,Azcapotzalco,0519,1155,2513,45.96100278551532,918,36.53004377238361,1073,42.69797055312375,82,3.263032232391564
9,Distrito Federal,2,Azcapotzalco,0542,1420,3013,47.129107202124125,1071,35.54596747427813,1306,43.345502821108525,114,3.783604381015599
9,Distrito Federal,2,Azcapotzalco,0557,2221,4698,47.275436355896126,1681,35.78118348233291,2123,45.1894423158791,98,2.0859940400170287
9,Distrito Federal,2,Azcapotzalco,0561,1449,3187,45.46595544399121,1160,36.397866331973646,1355,42.516473172262316,94,2.9494822717288987
9,Distrito Federal,2,Azcapotzalco,0576,1488,3243,45.88344125809436,1195,36.84859697810669,1377,42.46068455134135,111,3.4227567067530065
9,Distrito Federal,2,Azcapotzalco,0580,1928,4210,45.795724465558195,1492,35.43942992874109,1828,43.42042755344418,100,2.375296912114014
9,Distrito Federal,2,Azcapotzalco,0595,1990,4637,42.91567824024153,1702,36.70476601250809,1875,40.435626482639634,115,2.4800517576018977
9,Distrito Federal,2,Azcapotzalco,0608,2176,5002,43.50259896041583,1732,34.626149540183924,2060,41.183526589364256,116,2.3190723710515795
9,Distrito Federal,2,Azcapotzalco,0612,1929,4351,44.33463571592738,1574,36.17559181797288,1793,41.20891749023213,136,3.1257182256952425
9,Distrito Federal,2,Azcapotzalco,0627,2285,5097,44.830292328820875,1767,34.66745144202472,2140,41.98548165587601,145,2.8448106729448694
9,Distrito Federal,2,Azcapotzalco,0631,2118,5242,40.40442579168256,2089,39.851201831362076,1989,37.94353300267074,129,2.4608927890118277
9,Distrito Federal,2,Azcapotzalco,0650,2971,6888,43.13298490127758,2543,36.919279907084785,2811,40.81010452961672,160,2.3228803716608595
9,Distrito Federal,2,Azcapotzalco,0665,3549,7698,46.102883865939205,2716,35.28189140036373,3347,43.47882566900494,202,2.6240581969342687
9,Distrito Federal,2,Azcapotzalco,067A,2896,6274,46.15875039846988,2227,35.49569652534269,2710,43.19413452343003,186,2.964615875039847
9,Distrito Federal,2,Azcapotzalco,0684,2216,4562,48.575186321788685,1619,35.48882069267865,2085,45.703638754932044,131,2.8715475668566417
9,Distrito Federal,2,Azcapotzalco,0699,1260,2648,47.583081570996974,1009,38.10422960725076,1164,43.957703927492446,96,3.625377643504532
9,Distrito Federal,2,Azcapotzalco,0701,1256,2518,49.88085782366958,910,36.13979348689436,1185,47.06115965051628,71,2.8196981731532964
9,Distrito Federal,2,Azcapotzalco,0716,1983,4245,46.71378091872791,1527,35.97173144876325,1888,44.47585394581861,95,2.237926972909305
9,Distrito Federal,2,Azcapotzalco,0720,1439,3099,46.434333656018076,1238,39.948370442078094,1358,43.82058728622136,81,2.6137463697967087
9,Distrito Federal,2,Azcapotzalco,074A,1495,3144,47.55089058524173,1168,37.150127226463106,1403,44.62468193384224,92,2.926208651399491
9,Distrito Federal,2,Azcapotzalco,0754,1160,2543,45.61541486433347,959,37.711364530082584,1112,43.72788045615415,48,1.8875344081793157
9,Distrito Federal,2,Azcapotzalco,0769,2397,5172,46.345707656612525,1891,36.562258313998456,2227,43.058778035576175,170,3.2869296210363497
9,Distrito Federal,2,Azcapotzalco,0773,1253,2718,46.10007358351729,993,36.53421633554083,1177,43.303899926416484,76,2.79617365710081
9,Distrito Federal,2,Azcapotzalco,0788,1276,2651,48.13278008298755,938,35.38287438702377,1206,45.492267069030554,70,2.6405130139569972
9,Distrito Federal,2,Azcapotzalco,0792,2196,4901,44.80718220771271,1825,37.23729851050806,2042,41.664966333401345,154,3.1422158743113653
9,Distrito Federal,2,Azcapotzalco,0805,975,2021,48.24344383968332,767,37.95150915388422,922,45.62097971301336,53,2.6224641266699655
9,Distrito Federal,2,Azcapotzalco,081A,1604,3260,49.20245398773006,1073,32.91411042944785,1495,45.858895705521476,109,3.343558282208589
9,Distrito Federal,2,Azcapotzalco,0824,1331,2737,48.62988673730362,1014,37.047862623310195,1232,45.012787723785166,99,3.617099013518451
9,Distrito Federal,2,Azcapotzalco,0839,1552,3160,49.11392405063291,1119,35.41139240506329,1468,46.45569620253164,84,2.6582278481012658
9,Distrito Federal,2,Azcapotzalco,0843,1761,3796,46.390937829293996,1380,36.35405690200211,1683,44.33614330874605,78,2.054794520547945
9,Distrito Federal,2,Azcapotzalco,0858,2098,4493,46.69485866904073,1642,36.54573781437792,1993,44.35789005119074,105,2.336968617849989
