ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
01,Aguascalientes,000,Aguascalientes,0000,Total de la entidad,0000,000,1184996,732571,89605,475207,31381,249596,930149,290877,289575,4.07
01,Aguascalientes,001,Aguascalientes,0000,Total del municipio,0000,000,797010,507711,61285,336974,21020,178471,614582,202141,201071,3.94
01,Aguascalientes,001,Aguascalientes,0001,Total de la localidad urbana,0000,000,722250,463885,56639,308889,19173,160807,557796,185120,184123,3.90
01,Aguascalientes,001,Aguascalientes,0001,Total AGEB urbana,0229,000,410,249,19,174,7,125,285,104,104,3.94
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,001,65,37,*,30,*,25,40,*,*,3.82
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,002,0,0,0,0,0,0,0,0,0,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,003,0,0,0,0,0,0,0,0,0,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,004,0,0,0,0,0,0,0,0,0,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,006,25,19,3,14,0,6,19,*,*,3.13
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,007,99,60,3,45,3,34,65,*,*,5.50
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,008,78,45,4,31,3,20,58,*,*,4.11
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,010,134,85,8,52,0,32,102,*,*,3.35
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,011,0,0,0,0,0,0,0,0,0,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,012,0,0,0,0,0,0,0,0,0,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,013,0,0,0,0,0,0,0,0,0,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,014,0,0,0,0,0,0,0,0,0,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,015,0,0,0,0,0,0,0,0,0,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,016,0,0,0,0,0,0,0,0,0,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,017,0,0,0,0,0,0,0,0,0,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,018,0,0,0,0,0,0,0,0,0,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0229,019,9,*,*,*,*,*,*,*,*,*
01,Aguascalientes,001,Aguascalientes,0001,Total AGEB urbana,0233,000,1536,989,118,669,42,410,1117,423,421,3.63
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0233,001,194,131,27,77,12,74,120,*,*,4.41
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0233,003,9,7,*,6,0,*,7,*,*,2.25
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0233,005,246,139,15,100,7,54,189,*,*,4.58
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0233,006,1,*,*,*,*,*,*,*,*,*
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0233,007,120,72,11,48,5,24,96,*,*,5.71
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0233,008,0,0,0,0,0,0,0,*,*,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0233,009,0,0,0,0,0,0,0,0,0,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0233,010,26,14,0,12,3,11,15,*,*,3.25
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0233,012,202,140,9,98,5,55,147,*,*,3.16
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0233,014,0,0,0,0,0,0,0,0,0,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0233,015,19,15,*,12,0,0,19,*,*,2.11
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0233,016,23,18,*,14,*,7,16,*,*,1.92
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0233,019,0,0,0,0,0,0,0,0,0,0
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0233,020,0,0,0,0,0,0,0,0,0,0
