ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
02,Baja California,000,Baja California,0000,Total de la entidad,0000,000,3155070,2036594,215854,1387389,67371,908960,2178921,870769,858676,3.60
02,Baja California,001,Ensenada,0000,Total del municipio,0000,000,466814,302093,35839,206680,7834,110182,349787,129657,128665,3.56
02,Baja California,001,Ensenada,0001,Total de la localidad urbana,0000,000,279765,191132,23865,125335,5854,48635,226003,80935,80442,3.41
02,Baja California,001,Ensenada,0001,Total AGEB urbana,0435,000,3632,2524,364,1655,43,634,2984,1092,1088,3.33
02,Baja California,001,Ensenada,0001,Ensenada,0435,001,48,33,5,22,0,16,32,*,*,3.43
02,Baja California,001,Ensenada,0001,Ensenada,0435,003,41,31,8,18,*,10,31,*,*,3.15
02,Baja California,001,Ensenada,0001,Ensenada,0435,004,41,29,5,15,0,12,29,*,*,4.10
02,Baja California,001,Ensenada,0001,Ensenada,0435,006,54,34,5,23,*,8,46,*,*,3.18
02,Baja California,001,Ensenada,0001,Ensenada,0435,007,54,38,10,21,*,10,44,*,*,3.38
02,Baja California,001,Ensenada,0001,Ensenada,0435,008,25,20,*,15,0,5,20,*,*,2.78
02,Baja California,001,Ensenada,0001,Ensenada,0435,009,39,32,*,21,0,3,36,*,*,3
02,Baja California,001,Ensenada,0001,Ensenada,0435,010,17,12,*,9,0,7,10,*,*,2.83
02,Baja California,001,Ensenada,0001,Ensenada,0435,011,51,34,6,19,0,9,39,*,*,3.43
02,Baja California,001,Ensenada,0001,Ensenada,0435,012,69,46,9,37,*,6,63,*,*,4.06
02,Baja California,001,Ensenada,0001,Ensenada,0435,013,47,33,7,19,0,3,41,*,*,2.75
02,Baja California,001,Ensenada,0001,Ensenada,0435,014,23,16,3,9,0,8,15,*,*,2.88
02,Baja California,001,Ensenada,0001,Ensenada,0435,015,52,40,10,30,0,8,44,*,*,3.47
02,Baja California,001,Ensenada,0001,Ensenada,0435,016,59,45,7,30,0,9,49,*,*,3.28
02,Baja California,001,Ensenada,0001,Ensenada,0435,017,67,45,8,31,*,17,50,*,*,3.05
02,Baja California,001,Ensenada,0001,Ensenada,0435,018,49,38,13,21,*,10,39,*,*,2.13
02,Baja California,001,Ensenada,0001,Ensenada,0435,019,95,67,7,50,*,11,84,*,*,3.52
02,Baja California,001,Ensenada,0001,Ensenada,0435,020,66,42,5,29,3,11,55,*,*,3.30
02,Baja California,001,Ensenada,0001,Ensenada,0435,021,31,19,*,15,0,3,28,*,*,3.88
02,Baja California,001,Ensenada,0001,Ensenada,0435,024,23,18,4,11,0,6,17,*,*,3.83
02,Baja California,001,Ensenada,0001,Ensenada,0435,025,97,66,11,40,0,11,86,*,*,3.34
02,Baja California,001,Ensenada,0001,Ensenada,0435,026,96,76,17,55,*,23,73,*,*,3.20
