ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
03,Baja California Sur,000,Baja California Sur,0000,Total de la entidad,0000,000,637026,414502,42114,287735,13708,145165,481387,178271,175046,3.55
03,Baja California Sur,001,Comondú,0000,Total del municipio,0000,000,70816,46371,6417,29846,615,12879,57675,19061,19012,3.65
03,Baja California Sur,001,Comondú,0001,Total de la localidad urbana,0000,000,40935,26937,3374,17601,411,7079,33683,10913,10887,3.64
03,Baja California Sur,001,Comondú,0001,Total AGEB urbana,2099,000,2565,2070,206,1424,17,1049,1502,468,463,3.53
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,001,36,28,4,17,0,5,31,*,*,3
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,002,46,36,9,23,0,7,39,*,*,3.07
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,003,47,34,3,22,0,16,31,*,*,3.13
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,004,64,42,5,24,0,14,50,*,*,3.76
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,005,31,24,6,13,0,3,28,*,*,3.88
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,006,35,29,6,16,0,3,32,*,*,2.92
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,007,51,35,5,17,0,5,46,*,*,3.40
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,008,54,37,6,23,0,5,49,*,*,3.60
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,009,27,20,*,13,0,9,18,*,*,4.50
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,010,0,0,0,0,0,0,0,0,0,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,011,35,28,*,18,0,12,23,*,*,3.18
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,012,54,39,*,27,0,8,46,*,*,3.38
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,013,52,39,4,26,*,8,44,*,*,3.06
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,014,29,26,11,11,*,11,18,*,*,2.64
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,015,984,952,22,749,4,770,208,*,*,2.65
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,016,30,23,6,14,0,*,29,*,*,3
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,017,48,35,6,30,*,8,39,*,*,3.20
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,018,47,35,12,17,0,4,42,*,*,3.62
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,019,60,43,7,25,0,9,51,*,*,3.75
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,020,32,21,*,14,0,4,28,*,*,4
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,021,69,45,4,25,0,16,53,*,*,4.93
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,022,58,40,7,26,0,11,47,*,*,3.87
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,023,43,34,8,14,0,4,39,*,*,3.31
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,024,44,30,5,18,0,7,37,*,*,3.67
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,025,38,25,5,10,*,10,28,*,*,3.45
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,026,30,20,6,16,*,4,26,*,*,5
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,027,16,13,3,7,0,*,14,*,*,3.20
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,028,66,43,6,23,*,13,53,*,*,3.14
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,029,69,53,*,31,0,10,59,*,*,4.06
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,030,66,42,7,29,0,16,50,*,*,4.40
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,032,58,40,8,28,3,16,36,*,*,4
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,033,23,18,4,9,0,*,21,*,*,2.88
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,034,62,35,6,26,0,8,54,*,*,5.17
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,035,35,23,3,13,0,6,29,*,*,3.89
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,036,35,26,5,14,0,3,32,*,*,3.50
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,037,24,16,*,10,*,9,15,*,*,3.43
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,038,39,25,6,17,0,5,34,*,*,3.25
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2099,039,28,16,*,9,*,5,23,*,*,3.50
03,Baja California Sur,001,Comondú,0001,Total AGEB urbana,2120,000,1422,941,151,588,21,243,1179,366,366,3.89
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,001,72,45,5,24,0,10,62,*,*,3.79
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,002,73,42,9,26,*,5,68,*,*,4.87
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,003,72,53,10,32,0,28,44,*,*,4
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,004,44,26,5,16,0,7,37,*,*,4
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,005,32,20,5,11,0,*,30,*,*,4
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,006,34,24,*,15,0,4,30,*,*,3.09
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,007,45,31,9,17,*,6,39,*,*,3.75
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,008,67,44,6,32,6,11,56,*,*,4.19
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,009,15,15,0,15,0,12,3,*,*,1.25
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,010,1,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,011,28,17,*,12,0,6,22,*,*,3.50
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,012,70,52,11,32,*,17,53,*,*,4.38
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,013,45,30,*,20,*,4,41,*,*,3.75
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,014,57,40,6,25,*,9,48,*,*,3.80
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,015,26,16,0,10,0,4,22,*,*,4.33
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,021,55,35,6,20,*,11,44,*,*,3.93
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,022,54,39,5,23,0,3,51,*,*,4.15
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,023,45,31,8,14,*,3,42,*,*,3.46
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,024,34,22,4,16,*,*,32,*,*,4.25
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,025,65,35,*,22,0,11,54,*,*,4.33
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,026,37,24,6,13,0,3,34,*,*,3.36
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,029,76,51,8,33,0,14,62,*,*,4.47
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,030,54,34,4,25,0,13,41,*,*,4.15
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,031,0,0,0,0,0,0,0,0,0,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,032,26,17,*,10,0,*,25,*,*,3.71
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,033,18,11,*,8,0,4,14,*,*,4.50
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,034,57,39,9,23,0,14,43,*,*,3.56
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,037,29,19,4,11,0,6,23,*,*,4.14
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,038,47,35,9,20,3,7,40,*,*,5.22
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,039,15,8,0,4,0,*,14,*,*,3
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,040,49,34,4,25,*,10,39,*,*,4.45
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,041,35,22,3,14,*,9,26,*,*,4.38
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,042,34,22,5,14,0,6,28,*,*,3.09
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,045,1,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2120,046,10,6,0,4,0,0,10,*,*,3.33
03,Baja California Sur,001,Comondú,0001,Total AGEB urbana,2135,000,927,548,47,388,4,131,796,248,247,3.68
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,021,0,0,0,0,0,0,0,0,0,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,024,42,24,3,15,0,*,41,*,*,4.67
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,025,25,19,7,13,*,6,19,*,*,3.57
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,026,33,20,*,12,0,8,25,*,*,3.67
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,043,20,12,0,9,0,4,16,*,*,4
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,044,38,28,3,19,0,4,34,*,*,3.17
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,045,54,28,0,25,0,9,45,*,*,3.38
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,046,48,27,0,20,0,10,38,*,*,3.43
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,047,58,31,*,23,*,7,51,*,*,4.14
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,048,45,26,*,19,0,9,36,*,*,3.75
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,049,56,35,0,24,0,7,49,*,*,3.50
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,050,44,28,*,19,0,3,41,*,*,3.38
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,051,46,25,0,14,*,12,34,*,*,3.54
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,052,44,25,3,19,0,6,38,*,*,3.14
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,053,38,24,0,21,0,*,36,*,*,3.45
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,054,45,22,*,17,*,10,35,*,*,4.09
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,055,63,35,0,29,0,8,55,*,*,4.20
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,056,5,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,057,7,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,059,9,5,0,5,0,0,9,*,*,3
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,060,10,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,061,1,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,062,3,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,063,29,17,0,11,0,4,25,*,*,3.63
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,064,34,20,0,14,0,4,30,*,*,3.40
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,065,50,27,0,23,0,*,48,*,*,3.57
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,066,45,25,0,18,0,7,38,*,*,4.09
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,067,10,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,068,0,0,0,0,0,0,0,0,0,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,069,4,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2135,070,21,21,19,*,0,*,20,*,*,1.50
03,Baja California Sur,001,Comondú,0001,Total AGEB urbana,2173,000,973,599,58,408,7,140,823,276,274,3.53
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,001,5,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,002,0,0,0,0,0,0,0,0,0,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,003,0,0,0,0,0,0,0,0,0,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,004,24,17,3,13,0,5,19,*,*,3
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,005,17,12,*,9,0,3,14,*,*,3.40
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,006,16,10,3,8,0,4,12,*,*,4
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,007,24,15,*,11,*,*,20,*,*,3
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,011,9,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,013,39,19,*,12,0,7,29,*,*,4
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,014,14,7,0,7,0,*,13,*,*,3.50
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,015,19,12,*,7,0,*,18,*,*,3.80
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,016,11,7,*,*,0,8,3,*,*,3.67
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,017,15,8,0,5,0,*,14,*,*,3.75
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,023,0,0,0,0,0,0,0,*,*,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,024,14,6,0,5,0,0,14,*,*,4.67
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,026,37,28,5,20,0,11,24,*,*,3.36
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,028,9,7,4,3,0,0,9,*,*,3
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,029,10,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,030,32,21,0,19,*,4,28,*,*,2.91
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,032,11,6,0,6,0,0,11,*,*,3.67
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,033,59,36,*,30,0,11,48,*,*,3.93
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,034,0,0,0,0,0,0,0,0,0,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,035,5,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,037,0,0,0,0,0,0,0,0,0,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,038,0,0,0,0,0,0,0,0,0,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,039,3,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,040,0,0,0,0,0,0,0,0,0,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,041,0,0,0,0,0,0,0,*,*,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,042,0,0,0,0,0,0,0,0,0,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,043,24,12,*,7,0,13,11,*,*,4
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,044,23,14,*,9,0,*,21,*,*,3.83
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,045,0,0,0,0,0,0,0,*,*,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,049,0,0,0,0,0,0,0,*,*,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,050,104,62,*,47,*,6,98,*,*,3.59
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,051,97,60,4,41,*,15,81,*,*,3.73
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,052,91,55,3,35,0,5,86,*,*,3.79
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,053,0,0,0,0,0,0,0,*,*,0
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,054,4,*,*,*,*,*,*,*,*,*
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,2173,055,48,33,7,16,*,10,38,*,*,3.20
