ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBMAS,POBFEM,REL_H_M,P_18YMAS,P_60YMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,P_18A24,PEA,PE_INAC,POCUPADA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP,GRAPROES
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,702,23,187,78,109,72,143,33,*,5,8,12,4,19,96,62,90,6,48,127,*,*,3,13
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,702,24,88,39,49,80,55,12,4,0,5,*,*,7,38,20,36,*,20,47,*,*,2,15
9,Distrito Federal,14,Benito Juárez,1,Total AGEB urbana,717,0,1254,590,664,89,933,253,25,27,64,38,23,103,610,382,599,11,331,777,438,389,3,14
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,2,45,23,22,105,27,6,*,0,*,0,3,*,19,11,19,0,4,29,*,*,2,14
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,3,26,11,15,73,23,8,0,0,*,*,*,*,15,10,15,0,5,21,*,*,4,12
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,4,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,5,108,52,56,93,87,24,*,*,8,*,0,3,58,29,58,0,21,78,*,*,2,15
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,6,30,12,18,67,20,3,0,*,3,0,0,3,14,6,14,0,11,13,*,*,3,13
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,8,76,39,37,105,53,12,4,*,3,0,0,8,39,14,37,*,20,40,*,*,3,16
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,9,62,38,24,158,52,12,*,*,5,*,*,4,38,16,36,*,10,52,*,*,3,13
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,11,25,11,14,79,15,*,0,*,*,*,0,*,9,8,9,0,3,16,*,*,3,10
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,19,52,20,32,63,42,16,*,*,3,*,3,5,23,24,23,0,15,37,*,*,3,13
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,21,85,35,50,70,60,12,4,4,5,0,3,10,44,19,44,0,16,60,*,*,4,14
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,22,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,23,111,53,58,91,84,19,*,4,3,6,0,13,61,29,58,3,28,71,*,*,3,15
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,24,110,45,65,69,84,22,3,*,8,6,*,10,57,34,56,*,35,69,*,*,3,13
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,25,69,35,34,103,40,8,*,*,3,7,*,4,25,23,24,*,15,39,*,*,3,12
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,26,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,27,249,114,135,84,192,57,3,4,12,8,3,22,110,93,109,*,68,153,*,*,3,15
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,28,33,19,14,136,21,5,*,*,*,0,0,*,15,6,14,*,3,21,*,*,2,14
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,29,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,30,22,9,13,69,14,4,0,*,*,*,*,*,10,7,10,0,3,16,*,*,3,15
9,Distrito Federal,14,Benito Juárez,1,Benito Juárez,717,31,10,4,6,67,10,3,0,0,0,0,0,*,6,4,6,0,3,7,*,*,2,12
