ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
04,Campeche,000,Campeche,0000,Total de la entidad,0000,000,822441,528597,67879,325786,8853,182195,631406,213727,211632,3.85
04,Campeche,001,Calkiní,0000,Total del municipio,0000,000,52890,34785,5582,20515,316,9670,42891,12729,12666,4.16
04,Campeche,001,Calkiní,0001,Total de la localidad urbana,0000,000,14934,10300,1740,6045,83,3059,11804,3587,3575,4.16
04,Campeche,001,Calkiní,0001,Total AGEB urbana,0275,000,4706,3260,567,1939,18,951,3728,1063,1062,4.43
04,Campeche,001,Calkiní,0001,Calkiní,0275,001,152,109,26,62,*,44,108,*,*,4.90
04,Campeche,001,Calkiní,0001,Calkiní,0275,002,243,164,32,97,0,79,163,*,*,4.58
04,Campeche,001,Calkiní,0001,Calkiní,0275,003,90,58,8,37,0,16,74,*,*,4.74
04,Campeche,001,Calkiní,0001,Calkiní,0275,004,316,210,36,121,0,41,274,*,*,4.58
04,Campeche,001,Calkiní,0001,Calkiní,0275,005,125,84,15,46,0,23,101,*,*,4.17
04,Campeche,001,Calkiní,0001,Calkiní,0275,006,71,54,6,29,*,19,52,*,*,4.73
04,Campeche,001,Calkiní,0001,Calkiní,0275,007,138,99,12,43,0,24,112,*,*,5.31
04,Campeche,001,Calkiní,0001,Calkiní,0275,008,119,68,9,48,0,7,112,*,*,4.25
04,Campeche,001,Calkiní,0001,Calkiní,0275,009,173,113,14,78,0,33,137,*,*,4.72
04,Campeche,001,Calkiní,0001,Calkiní,0275,010,30,25,3,18,*,8,22,*,*,7.50
04,Campeche,001,Calkiní,0001,Calkiní,0275,011,15,12,3,7,0,8,7,*,*,5
04,Campeche,001,Calkiní,0001,Calkiní,0275,012,147,107,25,63,*,35,112,*,*,4.32
04,Campeche,001,Calkiní,0001,Calkiní,0275,013,145,112,33,61,0,41,104,*,*,4.14
04,Campeche,001,Calkiní,0001,Calkiní,0275,014,259,177,32,103,4,59,199,*,*,4.80
04,Campeche,001,Calkiní,0001,Calkiní,0275,015,243,169,31,125,0,33,209,*,*,5.28
04,Campeche,001,Calkiní,0001,Calkiní,0275,016,30,16,*,10,0,4,26,*,*,5
04,Campeche,001,Calkiní,0001,Calkiní,0275,017,176,124,24,73,*,39,131,*,*,4.51
04,Campeche,001,Calkiní,0001,Calkiní,0275,018,155,116,22,61,*,37,117,*,*,5
04,Campeche,001,Calkiní,0001,Calkiní,0275,019,65,54,23,23,0,19,46,*,*,2.95
04,Campeche,001,Calkiní,0001,Calkiní,0275,020,18,16,4,12,0,4,14,*,*,2.25
04,Campeche,001,Calkiní,0001,Calkiní,0275,021,167,111,21,68,*,39,128,*,*,4.28
04,Campeche,001,Calkiní,0001,Calkiní,0275,022,50,41,14,23,0,13,37,*,*,3.57
04,Campeche,001,Calkiní,0001,Calkiní,0275,023,366,246,45,127,0,72,292,*,*,4.21
04,Campeche,001,Calkiní,0001,Calkiní,0275,026,185,126,14,69,0,26,159,*,*,4.87
04,Campeche,001,Calkiní,0001,Calkiní,0275,027,218,154,22,99,*,59,157,*,*,4.64
04,Campeche,001,Calkiní,0001,Calkiní,0275,028,190,121,12,81,*,32,158,*,*,4.42
04,Campeche,001,Calkiní,0001,Calkiní,0275,029,17,13,0,8,0,5,12,*,*,4.25
04,Campeche,001,Calkiní,0001,Calkiní,0275,030,323,231,42,136,3,48,272,*,*,4.61
04,Campeche,001,Calkiní,0001,Calkiní,0275,031,33,22,4,16,0,*,29,*,*,4.13
04,Campeche,001,Calkiní,0001,Calkiní,0275,032,46,32,6,18,0,*,44,*,*,3.29
04,Campeche,001,Calkiní,0001,Calkiní,0275,033,55,39,*,29,0,6,48,*,*,3.67
04,Campeche,001,Calkiní,0001,Calkiní,0275,034,34,24,*,13,0,5,29,*,*,3.09
04,Campeche,001,Calkiní,0001,Calkiní,0275,035,145,94,15,57,0,38,107,*,*,4.14
04,Campeche,001,Calkiní,0001,Calkiní,0275,036,22,17,*,11,0,3,19,*,*,3.14
04,Campeche,001,Calkiní,0001,Calkiní,0275,037,37,32,4,20,*,0,37,*,*,2.64
04,Campeche,001,Calkiní,0001,Calkiní,0275,040,0,0,0,0,0,0,0,0,0,0
04,Campeche,001,Calkiní,0001,Calkiní,0275,043,6,*,*,*,*,*,*,*,*,*
04,Campeche,001,Calkiní,0001,Calkiní,0275,046,63,38,3,24,0,5,58,*,*,4.20
04,Campeche,001,Calkiní,0001,Calkiní,0275,047,20,15,*,11,0,4,16,*,*,4
04,Campeche,001,Calkiní,0001,Calkiní,0275,048,19,11,0,9,0,15,4,*,*,3.80
04,Campeche,001,Calkiní,0001,Calkiní,0275,049,0,0,0,0,0,0,0,*,*,0
04,Campeche,001,Calkiní,0001,Total AGEB urbana,0326,000,233,161,28,88,0,67,165,54,54,4.31
04,Campeche,001,Calkiní,0001,Calkiní,0326,001,122,83,14,43,0,37,85,*,*,4.21
04,Campeche,001,Calkiní,0001,Calkiní,0326,002,13,*,*,*,*,*,*,*,*,*
04,Campeche,001,Calkiní,0001,Calkiní,0326,003,16,13,4,8,0,6,10,*,*,4
04,Campeche,001,Calkiní,0001,Calkiní,0326,004,4,*,*,*,*,*,*,*,*,*
04,Campeche,001,Calkiní,0001,Calkiní,0326,005,25,16,3,9,0,8,17,*,*,5
04,Campeche,001,Calkiní,0001,Calkiní,0326,007,40,26,4,15,0,4,36,*,*,4.44
04,Campeche,001,Calkiní,0001,Calkiní,0326,008,12,*,*,*,*,*,*,*,*,*
04,Campeche,001,Calkiní,0001,Calkiní,0326,009,1,*,*,*,*,*,*,*,*,*
04,Campeche,001,Calkiní,0001,Total AGEB urbana,0345,000,3106,2224,413,1238,12,694,2396,777,772,3.99
