ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
07,Chiapas,000,Chiapas,0000,Total de la entidad,0000,000,4796580,2768642,345481,1645564,38312,2001532,2723529,1091100,1072560,4.41
07,Chiapas,001,Acacoyagua,0000,Total del municipio,0000,000,16814,9484,1360,5161,136,6355,10438,3838,3838,4.38
07,Chiapas,001,Acacoyagua,0001,Total de la localidad urbana,0000,000,7515,4422,621,2413,122,2453,5056,1808,1808,4.16
07,Chiapas,001,Acacoyagua,0001,Total AGEB urbana,0052,000,2563,1394,146,745,62,808,1752,581,581,4.41
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,001,29,16,*,7,*,17,12,*,*,4.14
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,002,24,14,*,10,0,4,20,*,*,4
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,003,43,26,5,15,0,3,39,*,*,4.30
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,004,91,48,5,22,0,27,64,*,*,4.33
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,005,155,73,6,40,19,154,*,*,*,4.31
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,006,22,16,*,9,0,0,22,*,*,4.40
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,007,133,67,5,37,10,128,5,*,*,4.59
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,008,104,61,6,35,15,98,5,*,*,4.73
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,009,191,109,17,51,4,60,131,*,*,4.24
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,010,2,*,*,*,*,*,*,*,*,*
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,015,98,61,*,33,7,84,14,*,*,4.08
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,016,97,52,10,25,0,*,95,*,*,4.41
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,017,90,57,10,33,0,6,84,*,*,4.74
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,018,9,*,*,*,*,*,*,*,*,*
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,019,32,20,*,12,0,23,9,*,*,3.20
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,021,63,36,5,20,0,0,63,*,*,4.50
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,022,7,*,*,*,*,*,*,*,*,*
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,023,108,52,*,32,0,47,61,*,*,4.70
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,024,0,0,0,0,0,0,0,0,0,0
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,025,39,20,0,9,0,0,39,*,*,4.88
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,026,0,0,0,0,0,0,0,0,0,0
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,027,70,32,*,19,0,3,67,*,*,5
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,028,44,22,0,11,0,7,37,*,*,4.89
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,029,83,41,3,19,0,10,73,*,*,4.88
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,030,36,25,4,10,0,0,36,*,*,6
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,031,69,43,8,22,0,0,69,*,*,4.06
07,Chiapas,001,Acacoyagua,0001,Acacoyagua,0052,032,127,71,8,35,0,11,116,*,*,4.54
