ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
08,Chihuahua,037,Juárez,0001,Juárez,507A,039,66,32,*,22,3,14,49,*,*,3.94
08,Chihuahua,037,Juárez,0001,Juárez,507A,040,76,41,3,28,*,17,56,*,*,4.29
08,Chihuahua,037,Juárez,0001,Juárez,507A,041,12,5,0,3,0,0,12,*,*,4
08,Chihuahua,037,Juárez,0001,Juárez,507A,042,32,13,*,11,0,6,17,*,*,5.75
08,Chihuahua,037,Juárez,0001,Juárez,507A,043,42,19,0,15,0,8,34,*,*,4.20
08,Chihuahua,037,Juárez,0001,Juárez,507A,044,3,*,*,*,*,*,*,*,*,*
08,Chihuahua,037,Juárez,0001,Total AGEB urbana,5084,000,2900,1577,126,1110,54,533,2250,719,681,4.09
08,Chihuahua,037,Juárez,0001,Juárez,5084,001,55,32,4,21,0,15,40,*,*,3.67
08,Chihuahua,037,Juárez,0001,Juárez,5084,002,117,61,4,45,*,21,96,*,*,4.03
08,Chihuahua,037,Juárez,0001,Juárez,5084,003,101,47,7,36,*,9,89,*,*,4.67
08,Chihuahua,037,Juárez,0001,Juárez,5084,004,61,37,*,27,*,27,34,*,*,5.08
08,Chihuahua,037,Juárez,0001,Juárez,5084,005,82,42,*,27,0,24,58,*,*,4.82
08,Chihuahua,037,Juárez,0001,Juárez,5084,006,92,50,5,35,*,10,75,*,*,4.10
08,Chihuahua,037,Juárez,0001,Juárez,5084,007,71,43,*,27,*,13,58,*,*,4.18
08,Chihuahua,037,Juárez,0001,Juárez,5084,008,60,46,7,31,0,15,45,*,*,3.53
08,Chihuahua,037,Juárez,0001,Juárez,5084,009,71,43,3,32,5,15,56,*,*,3.55
08,Chihuahua,037,Juárez,0001,Juárez,5084,010,86,51,5,33,*,11,75,*,*,3.44
08,Chihuahua,037,Juárez,0001,Juárez,5084,011,73,37,6,23,*,9,64,*,*,4.29
08,Chihuahua,037,Juárez,0001,Juárez,5084,012,130,78,4,54,*,23,101,*,*,4.13
08,Chihuahua,037,Juárez,0001,Juárez,5084,013,61,36,4,28,*,8,47,*,*,3.93
08,Chihuahua,037,Juárez,0001,Juárez,5084,014,53,28,3,17,*,23,27,*,*,3.85
08,Chihuahua,037,Juárez,0001,Juárez,5084,015,79,49,*,36,*,7,69,*,*,3.62
08,Chihuahua,037,Juárez,0001,Juárez,5084,016,63,38,5,19,*,10,47,*,*,3.56
08,Chihuahua,037,Juárez,0001,Juárez,5084,017,42,22,0,18,*,*,41,*,*,4.67
08,Chihuahua,037,Juárez,0001,Juárez,5084,019,39,22,*,12,0,21,18,*,*,4.33
08,Chihuahua,037,Juárez,0001,Juárez,5084,020,110,59,6,38,3,19,88,*,*,4.28
08,Chihuahua,037,Juárez,0001,Juárez,5084,021,79,45,*,34,0,5,74,*,*,4.94
08,Chihuahua,037,Juárez,0001,Juárez,5084,022,67,33,3,20,*,11,50,*,*,4.07
08,Chihuahua,037,Juárez,0001,Juárez,5084,023,187,86,3,68,5,41,146,*,*,4.79
08,Chihuahua,037,Juárez,0001,Juárez,5084,024,98,53,5,38,0,14,84,*,*,4.08
08,Chihuahua,037,Juárez,0001,Juárez,5084,025,63,35,*,29,*,9,51,*,*,3.75
08,Chihuahua,037,Juárez,0001,Juárez,5084,026,52,27,5,19,*,13,36,*,*,4.08
08,Chihuahua,037,Juárez,0001,Juárez,5084,027,25,15,*,11,0,0,25,*,*,3.57
08,Chihuahua,037,Juárez,0001,Juárez,5084,028,54,31,*,17,0,7,43,*,*,5.10
08,Chihuahua,037,Juárez,0001,Juárez,5084,029,48,28,*,20,*,10,38,*,*,4
