ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBMAS,POBFEM,REL_H_M,P_18YMAS,P_60YMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,P_18A24,PEA,PE_INAC,POCUPADA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP,GRAPROES
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,322,64,193,85,108,79,132,14,7,10,24,12,8,16,81,71,79,*,62,131,*,*,3,13
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,322,65,42,22,20,110,29,0,*,3,6,3,0,3,17,14,17,0,16,26,*,*,4,15
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,322,66,59,25,34,74,39,7,4,*,5,4,5,8,19,29,19,0,22,37,*,*,4,10
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,322,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,322,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,322,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0
15,México,121,Cuautitlán Izcalli,1,Total AGEB urbana,337,0,7425,3527,3898,90,5747,1186,194,205,454,267,315,836,3396,2915,3123,273,2188,4988,2025,1945,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,1,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,2,120,58,62,94,92,22,7,3,5,3,4,9,57,40,52,5,26,88,*,*,3,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,3,152,70,82,85,103,25,5,*,8,7,12,10,50,72,50,0,36,101,*,*,4,10
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,4,190,93,97,96,151,39,9,7,10,3,10,25,76,88,70,6,62,127,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,5,145,70,75,93,113,23,6,3,16,6,*,14,72,48,68,4,52,93,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,6,139,66,73,90,110,33,3,4,8,*,6,10,61,57,46,15,46,87,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,7,136,62,74,84,104,22,*,6,10,4,8,12,67,49,57,10,48,85,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,8,160,71,89,80,124,25,3,3,13,7,10,25,87,54,79,8,49,111,*,*,4,10
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,9,193,94,99,95,138,31,7,11,16,8,4,22,82,68,76,6,49,135,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,10,194,89,105,85,148,43,4,7,15,6,8,19,84,78,81,3,47,141,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,11,192,94,98,96,139,25,5,6,14,8,11,19,88,69,81,7,70,113,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,12,155,73,82,89,119,24,3,5,6,5,8,19,70,62,70,0,48,98,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,13,135,64,71,90,98,33,10,4,11,6,6,9,57,53,49,8,41,94,*,*,4,10
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,14,166,69,97,71,131,27,3,5,7,8,6,23,72,72,55,17,66,94,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,17,168,84,84,100,121,19,5,12,15,7,7,25,67,68,64,3,56,112,*,*,5,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,18,163,85,78,109,131,31,4,3,13,3,3,13,86,51,80,6,50,107,*,*,4,10
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,19,149,67,82,82,117,33,7,6,7,4,5,13,67,59,65,*,21,125,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,20,177,87,90,97,150,40,4,*,5,9,5,23,78,86,68,10,56,118,*,*,3,10
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,21,159,67,92,73,116,25,4,6,11,*,5,17,69,54,67,*,41,103,*,*,4,10
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,22,186,87,99,88,147,26,5,7,9,9,9,25,89,75,88,*,37,149,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,23,183,86,97,89,138,20,3,5,10,10,11,30,83,75,66,17,52,125,*,*,4,13
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,24,136,68,68,100,103,13,*,3,9,5,6,13,66,47,58,8,39,88,*,*,3,14
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,27,66,38,28,136,57,12,0,*,*,3,4,10,34,30,32,*,18,48,*,*,3,13
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,37,110,53,57,93,86,12,3,*,9,3,7,12,46,49,46,0,49,60,*,*,3,12
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,38,173,78,95,82,133,28,6,8,14,*,7,17,84,57,79,5,53,117,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,39,172,79,93,85,128,27,*,4,16,12,7,16,67,80,66,*,30,139,*,*,3,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,40,169,78,91,86,134,26,6,5,7,4,7,24,80,64,75,5,62,101,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,41,146,56,90,62,120,29,3,*,11,5,6,19,60,71,54,6,46,100,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,42,172,83,89,93,138,37,6,3,4,8,7,17,82,71,66,16,74,92,*,*,3,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,43,351,174,177,98,273,52,7,6,22,15,12,43,165,135,158,7,89,245,*,*,4,13
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,44,94,48,46,104,86,12,0,*,4,*,*,11,58,31,50,8,38,55,*,*,3,13
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,45,197,89,108,82,146,27,9,9,13,5,6,25,84,71,82,*,61,125,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,46,106,57,49,116,77,14,4,6,8,3,5,7,44,41,42,*,37,66,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,47,199,87,112,78,152,22,5,11,14,4,7,25,90,73,80,10,77,116,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,48,152,72,80,90,117,20,4,*,9,5,6,12,74,52,63,11,41,102,*,*,3,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,49,45,18,27,67,32,11,*,*,5,4,*,6,17,20,13,4,16,29,*,*,4,10
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,50,153,69,84,82,114,13,*,4,9,4,9,28,66,61,62,4,46,95,*,*,3,12
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,51,115,62,53,117,85,22,7,*,5,4,4,10,53,38,50,3,33,73,*,*,4,12
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,54,173,90,83,108,137,24,4,*,7,8,13,25,78,80,70,8,45,125,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,57,411,199,212,94,336,72,7,9,23,11,16,39,191,172,184,7,116,285,*,*,4,13
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,60,206,106,100,106,166,20,6,3,5,7,7,27,110,69,100,10,58,135,*,*,4,13
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,65,85,38,47,81,65,10,*,*,6,5,3,11,37,36,36,*,18,64,*,*,3,12
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,66,431,209,222,94,331,57,9,11,32,19,16,46,199,167,189,10,119,300,*,*,4,12
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,67,18,9,9,100,17,5,*,0,0,0,0,*,15,*,10,5,13,5,*,*,6,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,69,33,14,19,74,25,5,0,0,*,3,3,4,17,14,16,*,*,32,*,*,4,13
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,70,39,20,19,105,31,7,0,0,*,*,*,5,19,16,17,*,8,28,*,*,5,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,71,70,35,35,100,53,21,0,3,3,4,7,3,29,35,27,*,16,54,*,*,4,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,72,96,42,54,78,81,16,*,*,6,*,4,11,50,37,48,*,22,74,*,*,4,12
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,74,34,16,18,89,26,6,0,0,0,*,*,3,13,15,13,0,4,24,*,*,3,11
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,337,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,México,121,Cuautitlán Izcalli,1,Total AGEB urbana,356,0,13,9,4,225,11,3,*,0,*,0,0,*,9,*,8,*,9,4,3,3,4,8
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,356,1,13,9,4,225,11,3,*,0,*,0,0,*,9,*,8,*,9,4,*,*,4,8
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,356,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,356,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,356,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,356,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,México,121,Cuautitlán Izcalli,1,Total AGEB urbana,360,0,33,28,5,560,32,12,0,0,0,0,*,3,21,12,18,3,8,24,5,4,3,13
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,360,1,33,28,5,560,32,12,0,0,0,0,*,3,21,12,18,3,8,24,*,*,3,13
15,México,121,Cuautitlán Izcalli,1,Total AGEB urbana,394,0,3683,1779,1904,93,2702,301,92,121,276,187,221,503,1670,1435,1577,93,1066,2532,989,960,4,13
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,394,4,477,224,253,89,397,75,9,14,24,14,19,65,238,191,226,12,150,327,*,*,4,14
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,394,5,143,67,76,88,104,11,3,3,10,6,11,22,60,61,58,*,29,108,*,*,4,14
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,394,6,38,24,14,171,21,0,*,*,*,*,5,8,12,16,11,*,18,14,*,*,3,12
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,394,7,69,34,35,97,56,16,*,*,6,*,*,10,33,26,33,0,11,58,*,*,3,13
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,394,12,155,76,79,96,117,14,*,*,8,8,9,25,65,69,63,*,55,91,*,*,4,13
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,394,13,51,26,25,104,42,5,*,0,*,*,3,11,24,22,21,3,17,31,*,*,4,14
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,394,14,72,35,37,95,46,5,*,6,6,5,5,8,24,32,23,*,27,42,*,*,5,13
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,394,15,196,90,106,85,159,38,*,5,10,3,8,28,93,77,87,6,69,118,*,*,4,13
15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli,394,17,129,66,63,105,96,13,3,*,11,4,5,22,55,50,51,4,35,85,*,*,4,13
