ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
13,Hidalgo,000,Hidalgo,0000,Total de la entidad,0000,000,2665018,1687601,250715,1008815,60743,900595,1739207,669514,662651,3.98
13,Hidalgo,001,Acatlán,0000,Total del municipio,0000,000,20077,12004,1853,7004,280,7734,12282,4871,4866,4.12
13,Hidalgo,001,Acatlán,0001,Total de la localidad urbana,0000,000,405,272,62,159,4,239,160,107,107,3.79
13,Hidalgo,001,Acatlán,0001,Total AGEB urbana,0043,000,405,272,62,159,4,239,160,107,107,3.79
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,001,60,40,12,18,0,29,28,*,*,4.29
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,002,9,*,*,*,*,*,*,*,*,*
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,003,0,0,0,0,0,0,0,0,0,0
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,006,47,27,5,21,*,25,21,*,*,4.27
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,007,61,44,13,20,0,42,18,*,*,3.59
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,008,28,15,3,10,0,15,13,*,*,4
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,009,0,0,0,0,0,0,0,0,0,0
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,010,18,9,0,7,*,14,4,*,*,4.50
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,011,33,21,3,16,0,20,13,*,*,3
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,012,28,20,6,10,0,17,11,*,*,3.50
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,013,33,25,4,14,0,25,8,*,*,4.13
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,016,25,18,*,9,0,19,6,*,*,3.57
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,017,32,25,11,15,0,10,21,*,*,2.91
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,019,31,22,*,16,*,20,11,*,*,4.43
13,Hidalgo,002,Acaxochitlán,0000,Total del municipio,0000,000,40583,22401,2858,13343,1133,17954,22313,8239,8165,4.94
13,Hidalgo,002,Acaxochitlán,0001,Total de la localidad urbana,0000,000,4026,2496,324,1614,54,1876,2127,946,943,4.26
13,Hidalgo,002,Acaxochitlán,0001,Total AGEB urbana,0125,000,1689,1016,131,681,14,730,953,394,393,4.29
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,001,23,15,7,10,0,9,14,*,*,3.29
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,002,6,*,*,*,*,*,*,*,*,*
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,003,65,44,4,30,0,27,38,*,*,5
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,004,16,9,0,6,0,4,12,*,*,4
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,005,18,10,*,5,0,6,12,*,*,3.60
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,006,61,43,7,30,0,34,27,*,*,3.81
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,007,0,0,0,0,0,0,0,0,0,0
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,008,43,29,3,21,0,29,14,*,*,4.78
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,009,3,*,*,*,*,*,*,*,*,*
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,010,16,12,4,7,*,4,12,*,*,4
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,011,84,46,*,36,*,24,60,*,*,4.67
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,012,82,50,9,36,*,44,38,*,*,4.56
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,013,195,109,12,73,0,100,95,*,*,3.98
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,014,175,106,13,76,*,75,100,*,*,4.38
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,015,12,8,*,4,0,0,12,*,*,4
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,016,3,*,*,*,*,*,*,*,*,*
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,017,14,10,*,6,0,6,8,*,*,3.50
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,020,83,50,10,26,*,48,35,*,*,3.95
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,021,53,35,7,22,0,32,21,*,*,4.42
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,022,27,16,0,14,0,8,19,*,*,4.50
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,023,0,0,0,0,0,0,0,0,0,0
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,024,5,*,*,*,*,*,*,*,*,*
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,025,40,27,4,19,*,9,31,*,*,4.44
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,026,159,97,11,60,0,68,91,*,*,4.82
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,027,9,7,*,5,0,3,6,*,*,3
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,028,80,54,5,29,*,20,60,*,*,4.21
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,029,178,102,13,70,*,72,100,*,*,4.07
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,030,57,37,6,23,*,26,31,*,*,5.18
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,031,75,38,*,29,0,24,51,*,*,3.75
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,032,107,50,3,36,*,47,60,*,*,4.86
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,0125,033,0,0,0,0,0,0,0,0,0,0
13,Hidalgo,002,Acaxochitlán,0001,Total AGEB urbana,013A,000,2288,1453,190,914,40,1134,1137,542,540,4.23
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,001,40,30,*,17,*,36,4,*,*,3.33
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,002,167,100,10,69,6,105,61,*,*,4.64
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,003,157,98,10,62,*,73,83,*,*,4.03
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,004,0,0,0,0,0,0,0,0,0,0
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,005,20,13,*,10,*,4,16,*,*,5
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,006,2,*,*,*,*,*,*,*,*,*
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,007,10,*,*,*,*,*,*,*,*,*
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,008,15,8,*,6,0,7,8,*,*,3.75
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,009,197,124,10,84,3,77,119,*,*,4.58
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,010,23,16,*,10,0,8,15,*,*,3.83
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,011,123,78,4,53,*,60,63,*,*,4.39
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,012,22,12,*,9,0,*,21,*,*,4.40
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,013,18,13,*,8,*,12,6,*,*,3.60
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,014,138,97,19,44,*,47,88,*,*,4.60
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,015,78,50,16,32,*,44,32,*,*,3.12
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,016,42,35,9,23,0,20,21,*,*,2.63
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,017,129,80,14,47,*,60,66,*,*,4.20
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,019,6,*,*,*,*,*,*,*,*,*
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,020,84,54,5,34,*,60,24,*,*,4.67
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,021,16,7,0,5,0,4,12,*,*,5.33
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,022,47,31,8,16,0,24,20,*,*,3.67
13,Hidalgo,002,Acaxochitlán,0001,Acaxochitlán,013A,023,49,33,6,18,*,34,15,*,*,4.45
