ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0763,030,0,0,0,0,0,0,0,*,*,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0763,031,239,145,8,105,0,56,177,*,*,3.64
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0763,032,0,0,0,0,0,0,0,0,0,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0763,033,0,0,0,0,0,0,0,*,*,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0763,034,0,0,0,0,0,0,0,0,0,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0763,035,235,155,8,105,*,52,177,*,*,3.32
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0763,036,2,*,*,*,*,*,*,*,*,*
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0763,037,4,4,0,4,0,0,4,*,*,1.33
14,Jalisco,097,Tlajomulco de Zúñiga,0025,Total AGEB urbana,0778,000,119,78,7,50,*,75,41,33,32,3.63
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0778,001,0,0,0,0,0,0,0,*,*,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0778,003,28,17,*,14,0,19,9,*,*,4.67
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0778,004,0,0,0,0,0,0,0,*,*,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0778,005,59,41,4,25,0,40,16,*,*,3.29
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0778,007,32,20,*,11,*,16,16,*,*,3.56
14,Jalisco,097,Tlajomulco de Zúñiga,0025,Total AGEB urbana,0782,000,197,80,12,57,*,57,89,48,31,4.71
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0782,001,17,11,*,10,0,3,14,*,*,5.67
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0782,002,88,45,3,29,*,40,45,*,*,4.47
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0782,003,68,24,7,18,0,14,30,*,*,4.89
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0782,004,9,0,0,0,0,0,0,*,*,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0782,005,6,*,*,*,*,*,*,*,*,*
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0782,006,0,0,0,0,0,0,0,0,0,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0782,007,3,*,*,*,*,*,*,*,*,*
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0782,008,6,*,*,*,*,*,*,*,*,*
14,Jalisco,097,Tlajomulco de Zúñiga,0025,Total AGEB urbana,0797,000,387,237,26,156,7,148,211,101,92,3.91
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0797,001,158,87,9,66,5,70,82,*,*,4.47
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0797,002,0,0,0,0,0,0,0,0,0,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0797,003,45,29,*,23,0,19,23,*,*,3.50
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0797,004,53,35,*,24,*,23,27,*,*,3.85
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0797,005,19,17,*,9,0,6,13,*,*,3.80
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0797,006,7,4,3,0,0,0,4,*,*,2
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0797,007,45,24,6,14,0,3,33,*,*,3.27
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0797,008,39,25,*,12,*,20,19,*,*,4.33
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0797,009,0,0,0,0,0,0,0,0,0,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0797,010,0,0,0,0,0,0,0,*,*,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0797,011,13,8,*,4,0,3,6,*,*,3.33
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0797,012,8,8,0,4,0,4,4,*,*,2.67
14,Jalisco,097,Tlajomulco de Zúñiga,0025,Total AGEB urbana,080A,000,775,454,38,306,8,267,472,182,172,4.33
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,001,306,173,15,118,4,130,165,*,*,4.57
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,002,18,16,3,8,0,7,11,*,*,3
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,003,8,*,*,*,*,*,*,*,*,*
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,004,5,*,*,*,*,*,*,*,*,*
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,005,32,16,0,10,0,8,24,*,*,4.57
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,006,0,0,0,0,0,0,0,0,0,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,007,28,13,*,10,0,7,15,*,*,3.67
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,008,4,*,*,*,*,*,*,*,*,*
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,009,45,26,*,18,0,5,40,*,*,4.09
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,010,9,*,*,*,*,*,*,*,*,*
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,011,14,6,0,5,*,6,5,*,*,3.67
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,012,0,0,0,0,0,0,0,0,0,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,013,18,7,0,7,0,*,10,*,*,4
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,015,27,20,*,12,*,11,16,*,*,3.86
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,016,0,0,0,0,0,0,0,*,*,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,017,10,6,4,*,0,*,6,*,*,2.33
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,018,11,11,*,8,0,*,9,*,*,2.75
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,019,11,6,0,5,0,0,11,*,*,3.67
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,020,14,10,0,6,0,0,13,*,*,3.50
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,021,18,15,*,8,0,8,10,*,*,4.50
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,022,21,16,*,11,0,8,13,*,*,3.50
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,023,16,9,*,4,0,0,13,*,*,4.33
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,024,37,20,0,16,0,17,18,*,*,5.29
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,080A,025,123,68,4,46,0,44,78,*,*,5.35
14,Jalisco,097,Tlajomulco de Zúñiga,0025,Total AGEB urbana,0814,000,1416,825,44,599,13,376,984,363,345,3.95
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,001,78,47,3,35,0,31,43,*,*,3.57
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,002,142,74,*,57,*,27,103,*,*,3.94
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,003,23,15,0,12,0,10,13,*,*,3.83
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,004,79,44,5,33,0,22,51,*,*,4.06
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,005,20,14,*,12,*,3,17,*,*,3.33
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,006,386,226,10,165,7,113,273,*,*,4.11
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,007,118,65,9,48,0,49,60,*,*,4.36
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,008,0,0,0,0,0,0,0,0,0,0
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,010,139,94,*,72,*,39,97,*,*,3.78
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,012,91,53,0,38,*,17,74,*,*,4.14
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,013,6,*,*,*,*,*,*,*,*,*
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,014,63,35,*,26,0,13,47,*,*,3.53
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,015,10,*,0,*,0,4,0,*,*,4
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,016,15,12,*,7,0,7,8,*,*,3.75
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,017,9,*,*,*,*,*,*,*,*,*
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,018,11,9,*,5,0,0,11,*,*,3.67
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,019,20,9,*,7,0,0,14,*,*,4.67
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,020,23,15,*,11,0,4,19,*,*,3.29
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,021,16,8,0,4,*,5,11,*,*,4
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,022,26,12,*,6,0,*,19,*,*,5
14,Jalisco,097,Tlajomulco de Zúñiga,0025,San Agustín,0814,023,19,15,*,8,0,*,18,*,*,2.71
