ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
17,Morelos,000,Morelos,0000,Total de la entidad,0000,000,1777227,1155125,177878,744599,35874,626965,1122320,469091,460868,3.79
17,Morelos,001,Amacuzac,0000,Total del municipio,0000,000,17021,10819,1975,6366,338,5887,11080,4415,4407,3.86
17,Morelos,001,Amacuzac,0001,Total de la localidad urbana,0000,000,5368,3518,595,2059,125,1716,3620,1403,1396,3.83
17,Morelos,001,Amacuzac,0001,Total AGEB urbana,0060,000,1319,836,126,513,31,469,840,344,342,3.84
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,001,125,79,8,56,*,46,79,*,*,4.46
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,002,24,14,*,7,*,0,24,*,*,4
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,003,61,39,7,23,0,15,44,*,*,3.39
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,005,7,6,*,5,*,3,4,*,*,2.33
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,006,14,11,*,6,0,4,10,*,*,3.50
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,007,2,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,008,24,16,0,11,*,*,22,*,*,3.43
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,009,0,0,0,0,0,0,0,0,0,0
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,012,13,6,0,3,0,5,8,*,*,4.33
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,013,16,12,*,5,*,4,12,*,*,4
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,014,2,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,015,38,22,4,11,*,12,26,*,*,4.75
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,016,25,16,*,10,0,*,23,*,*,4.17
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,017,48,30,5,15,*,15,33,*,*,4.36
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,018,65,40,8,26,*,24,41,*,*,4.06
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,019,18,12,*,12,*,*,16,*,*,3.60
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,020,8,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,021,53,39,12,25,3,17,36,*,*,3.31
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,022,42,23,4,12,0,21,21,*,*,3.82
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,024,13,8,*,5,0,7,6,*,*,4.33
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,025,16,11,*,8,*,*,14,*,*,3.20
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,026,25,20,3,16,*,13,12,*,*,3.57
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,027,29,19,6,13,*,10,19,*,*,3.63
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,028,31,17,4,9,0,15,16,*,*,4.43
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,029,18,12,3,5,0,8,7,*,*,3.75
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,030,26,15,*,10,0,12,14,*,*,4.33
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,031,30,21,4,11,*,7,23,*,*,3.75
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,034,81,55,9,28,*,36,41,*,*,3.12
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,035,17,15,3,13,3,8,9,*,*,3.40
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,036,5,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,037,13,11,6,3,0,3,10,*,*,2.17
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,039,15,9,0,6,0,0,15,*,*,3.75
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,040,8,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,042,28,16,*,5,0,22,6,*,*,4.67
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,043,14,10,*,7,*,6,8,*,*,4.67
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,045,32,20,4,11,*,5,27,*,*,3.20
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,047,6,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,049,0,0,0,0,0,0,0,0,0,0
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,052,4,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,053,0,0,0,0,0,0,0,*,*,0
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,054,39,31,3,20,*,10,29,*,*,3.55
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,055,9,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,056,15,6,0,4,0,*,14,*,*,3.75
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,057,40,22,*,14,0,16,24,*,*,4
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,058,0,0,0,0,0,0,0,*,*,0
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,059,13,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,061,12,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,062,18,6,0,7,0,11,7,*,*,6
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,064,14,10,0,7,0,11,3,*,*,3.50
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,065,31,17,0,10,0,12,19,*,*,4.43
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,066,18,11,*,8,0,3,15,*,*,3.60
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,067,19,9,0,7,*,3,16,*,*,3.80
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,069,40,26,3,11,0,11,29,*,*,4.44
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,070,10,6,*,4,0,6,4,*,*,3.33
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,071,8,7,*,5,0,*,7,*,*,2.67
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,072,37,18,*,11,0,31,5,*,*,5.29
17,Morelos,001,Amacuzac,0001,Amacuzac,0060,073,0,0,0,0,0,0,0,*,*,0
17,Morelos,001,Amacuzac,0001,Total AGEB urbana,0075,000,522,346,60,206,25,205,317,137,137,3.81
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,001,21,11,*,8,*,9,12,*,*,5.25
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,002,77,59,19,31,3,29,48,*,*,3.35
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,003,206,143,26,78,10,81,125,*,*,3.68
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,004,33,18,*,9,*,8,25,*,*,3.67
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,005,45,25,4,18,5,9,36,*,*,4.50
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,006,1,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,008,0,0,0,0,0,0,0,0,0,0
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,009,18,8,*,6,0,18,0,*,*,4.50
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,010,8,6,*,3,0,7,*,*,*,2.67
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,011,17,11,0,9,3,5,12,*,*,4.25
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,012,9,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,013,11,8,*,6,0,9,*,*,*,3.67
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,014,4,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,015,66,40,*,24,*,28,38,*,*,4.40
17,Morelos,001,Amacuzac,0001,Amacuzac,0075,016,6,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Total AGEB urbana,008A,000,705,405,49,251,16,249,456,174,174,4.05
17,Morelos,001,Amacuzac,0001,Amacuzac,008A,001,18,9,5,3,0,7,11,*,*,3.60
17,Morelos,001,Amacuzac,0001,Amacuzac,008A,002,25,14,*,7,*,10,15,*,*,4.17
17,Morelos,001,Amacuzac,0001,Amacuzac,008A,003,5,*,*,*,*,*,*,*,*,*
17,Morelos,001,Amacuzac,0001,Amacuzac,008A,004,26,15,*,9,*,8,18,*,*,3.71
17,Morelos,001,Amacuzac,0001,Amacuzac,008A,005,34,19,*,10,*,11,23,*,*,4.25
17,Morelos,001,Amacuzac,0001,Amacuzac,008A,006,266,144,15,86,3,89,177,*,*,4.59
17,Morelos,001,Amacuzac,0001,Amacuzac,008A,007,62,37,8,29,0,22,40,*,*,3.88
17,Morelos,001,Amacuzac,0001,Amacuzac,008A,008,31,22,*,13,0,17,14,*,*,3.44
17,Morelos,001,Amacuzac,0001,Amacuzac,008A,009,33,18,*,11,*,9,24,*,*,3.67
17,Morelos,001,Amacuzac,0001,Amacuzac,008A,013,46,30,*,21,4,19,27,*,*,4.60
