ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
18,Nayarit,000,Nayarit,0000,Total de la entidad,0000,000,1084979,696829,109391,435977,15790,247066,827831,291163,288680,3.71
18,Nayarit,001,Acaponeta,0000,Total del municipio,0000,000,36572,23433,4729,13233,559,6870,29565,9716,9691,3.77
18,Nayarit,001,Acaponeta,0001,Total de la localidad urbana,0000,000,19140,12222,2067,7630,241,3619,15461,5029,5017,3.81
18,Nayarit,001,Acaponeta,0001,Total AGEB urbana,007A,000,1789,1296,365,755,34,346,1443,547,547,3.27
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,001,0,0,0,0,0,0,0,0,0,0
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,002,6,*,*,*,*,*,*,*,*,*
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,003,0,0,0,0,0,0,0,*,*,0
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,004,33,25,7,15,0,4,29,*,*,2.75
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,005,1,*,*,*,*,*,*,*,*,*
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,006,81,51,8,31,*,11,70,*,*,3.68
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,007,3,*,*,*,*,*,*,*,*,*
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,008,29,19,8,12,*,*,27,*,*,3.22
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,009,29,22,5,17,0,*,27,*,*,2.64
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,010,9,7,3,3,0,7,*,*,*,3
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,011,15,10,*,9,0,0,15,*,*,3
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,012,40,32,8,18,*,15,25,*,*,2.67
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,013,40,30,18,11,0,4,36,*,*,2.35
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,014,38,32,9,15,*,8,30,*,*,2.92
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,015,34,29,7,18,*,5,29,*,*,3.09
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,016,59,39,10,22,*,10,49,*,*,3.28
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,017,68,41,4,29,*,4,64,*,*,5.23
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,018,55,36,7,22,5,24,31,*,*,3.06
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,019,57,44,11,19,*,15,42,*,*,3.80
18,Nayarit,001,Acaponeta,0001,Acaponeta,007A,020,101,76,19,48,*,12,89,*,*,3.48
