ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0201,047,122,92,24,42,*,24,98,*,*,3.21
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0201,048,80,70,24,35,*,4,76,*,*,3.08
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0201,049,32,28,7,15,*,3,29,*,*,3.56
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0201,050,204,156,46,77,4,51,152,*,*,3.19
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0201,051,104,81,17,44,*,19,85,*,*,3.35
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0201,052,109,82,28,41,*,21,82,*,*,3.03
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0201,055,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0201,056,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0201,058,88,73,19,48,5,24,64,*,*,3.67
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0201,059,59,40,4,26,0,3,56,*,*,3.93
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0201,060,82,58,3,32,*,7,69,*,*,4
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0201,061,72,51,4,30,*,11,52,*,*,3
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0201,062,106,80,5,49,*,21,84,*,*,4.08
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0201,063,29,15,0,12,0,*,24,*,*,3.25
19,Nuevo León,046,San Nicolás de los Garza,0001,Total AGEB urbana,0216,000,2126,1649,442,907,19,226,1778,679,647,3.14
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0216,001,32,24,9,14,0,6,20,*,*,2.64
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0216,002,23,18,7,9,0,4,19,*,*,3.29
19,Nuevo León,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0216,003,35,20,5,12,*,*,29,*,*,3.56
