ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
20,Oaxaca,509,Santo Domingo de Morelos,0001,Santo Domingo de Morelos,0053,001,5,*,*,*,*,*,*,*,*,*
20,Oaxaca,509,Santo Domingo de Morelos,0001,Santo Domingo de Morelos,0053,002,7,*,*,*,*,*,*,*,*,*
20,Oaxaca,509,Santo Domingo de Morelos,0001,Santo Domingo de Morelos,0053,003,116,70,13,52,18,57,57,*,*,4
20,Oaxaca,509,Santo Domingo de Morelos,0001,Santo Domingo de Morelos,0053,004,18,9,*,3,0,8,10,*,*,6
20,Oaxaca,509,Santo Domingo de Morelos,0001,Santo Domingo de Morelos,0053,006,56,28,6,9,4,31,25,*,*,3.73
20,Oaxaca,509,Santo Domingo de Morelos,0001,Santo Domingo de Morelos,0053,009,25,20,3,8,4,20,5,*,*,5
20,Oaxaca,509,Santo Domingo de Morelos,0001,Santo Domingo de Morelos,0053,010,138,65,10,45,10,48,89,*,*,4.45
20,Oaxaca,509,Santo Domingo de Morelos,0001,Santo Domingo de Morelos,0053,011,9,*,*,*,*,*,*,*,*,*
20,Oaxaca,509,Santo Domingo de Morelos,0001,Santo Domingo de Morelos,0053,012,9,5,0,3,*,5,4,*,*,3
20,Oaxaca,509,Santo Domingo de Morelos,0001,Santo Domingo de Morelos,0053,013,51,34,5,23,13,32,19,*,*,4.25
20,Oaxaca,509,Santo Domingo de Morelos,0001,Santo Domingo de Morelos,0053,014,108,64,6,27,9,58,50,*,*,4.50
20,Oaxaca,509,Santo Domingo de Morelos,0001,Santo Domingo de Morelos,0053,015,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,510,Santo Domingo Ixcatlán,0000,Total del municipio,0000,000,877,574,141,247,8,195,682,244,244,3.59
20,Oaxaca,510,Santo Domingo Ixcatlán,0001,Total de la localidad urbana,0000,000,195,133,35,50,*,36,159,54,54,3.61
20,Oaxaca,510,Santo Domingo Ixcatlán,0001,Total AGEB urbana,0020,000,195,133,35,50,*,36,159,54,54,3.61
20,Oaxaca,510,Santo Domingo Ixcatlán,0001,Santo Domingo Ixcatlán,0020,001,10,7,3,*,0,*,8,*,*,2.50
20,Oaxaca,510,Santo Domingo Ixcatlán,0001,Santo Domingo Ixcatlán,0020,003,6,*,*,*,*,*,*,*,*,*
20,Oaxaca,510,Santo Domingo Ixcatlán,0001,Santo Domingo Ixcatlán,0020,004,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,510,Santo Domingo Ixcatlán,0001,Santo Domingo Ixcatlán,0020,005,25,21,5,7,0,3,22,*,*,4.17
