ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,038,17,6,0,3,0,6,7,*,*,5.67
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,039,77,44,7,28,0,37,39,*,*,5.13
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,040,101,54,9,19,3,45,56,*,*,5.32
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,041,6,*,*,*,*,*,*,*,*,*
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,042,63,37,5,20,5,21,42,*,*,4.85
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,043,52,29,3,15,0,26,26,*,*,6.50
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,044,26,17,4,6,0,8,18,*,*,4.33
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,045,13,*,*,*,*,*,*,*,*,*
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,047,0,0,0,0,0,0,0,0,0,0
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,048,0,0,0,0,0,0,0,0,0,0
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,051,23,16,*,9,0,8,15,*,*,3.83
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,052,6,*,*,*,*,*,*,*,*,*
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,053,0,0,0,0,0,0,0,*,*,0
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,054,4,*,*,*,*,*,*,*,*,*
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,055,9,*,*,*,*,*,*,*,*,*
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,058,0,0,0,0,0,0,0,0,0,0
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,059,17,7,*,3,0,0,17,*,*,5.67
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,060,0,0,0,0,0,0,0,0,0,0
21,Puebla,160,Teotlalco,0001,Teotlalco,0044,061,0,0,0,0,0,0,0,0,0,0
21,Puebla,161,Tepanco de López,0000,Total del municipio,0000,000,19002,11116,1419,6542,158,9332,9643,4419,4419,4.30
21,Puebla,161,Tepanco de López,0001,Total de la localidad urbana,0000,000,2747,1687,257,927,28,1054,1689,626,626,4.39
21,Puebla,161,Tepanco de López,0001,Total AGEB urbana,0111,000,1292,803,121,439,15,502,789,307,307,4.21
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,001,52,37,7,22,0,17,35,*,*,3.71
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,002,40,25,*,13,*,28,12,*,*,5.71
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,005,72,49,13,20,0,31,41,*,*,4
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,006,29,23,3,12,*,13,16,*,*,3.63
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,007,27,21,*,11,0,9,18,*,*,4.50
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,008,61,44,11,21,*,26,34,*,*,4.07
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,009,39,22,6,9,0,19,20,*,*,3.90
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,010,46,25,6,15,0,9,37,*,*,4.18
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,011,22,10,*,7,0,4,18,*,*,4.40
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,012,40,21,4,9,0,*,38,*,*,4.44
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,013,31,22,3,13,0,23,8,*,*,3.44
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,014,35,23,3,11,0,8,27,*,*,5
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,016,19,16,3,12,0,11,8,*,*,2.71
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,017,75,51,8,30,0,35,40,*,*,3.57
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,018,10,7,*,3,0,7,3,*,*,3.33
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,019,67,43,7,26,*,27,40,*,*,4.79
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,020,20,15,*,9,0,4,16,*,*,2.86
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,021,62,35,*,23,3,18,44,*,*,5.64
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,022,45,29,3,15,*,14,31,*,*,5.63
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,023,21,13,0,7,*,4,17,*,*,4.20
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,024,97,51,8,28,0,19,78,*,*,4.41
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,025,16,5,0,6,0,3,13,*,*,4
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,026,7,5,*,3,0,5,*,*,*,2.33
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,027,141,87,13,53,3,66,75,*,*,4.41
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,028,42,24,*,8,0,17,25,*,*,4.67
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,029,0,0,0,0,0,0,0,0,0,0
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,030,32,18,*,10,*,19,13,*,*,6.40
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,032,25,15,3,7,0,10,15,*,*,4.17
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,033,65,34,4,23,*,37,28,*,*,4.06
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,034,0,0,0,0,0,0,0,0,0,0
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,035,46,28,*,11,0,17,29,*,*,3.54
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,037,2,*,*,*,*,*,*,*,*,*
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0111,039,6,*,*,*,*,*,*,*,*,*
21,Puebla,161,Tepanco de López,0001,Total AGEB urbana,0126,000,1296,802,129,440,12,492,801,283,283,4.58
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0126,001,19,13,*,8,*,14,5,*,*,3.80
21,Puebla,161,Tepanco de López,0001,Tepanco de López,0126,002,70,46,8,23,0,21,49,*,*,4.38
