ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
22,Querétaro,000,Querétaro,0000,Total de la entidad,0000,000,1827937,1155920,136381,755956,41126,460320,1351726,454392,450104,4.02
22,Querétaro,001,Amealco de Bonfil,0000,Total del municipio,0000,000,62197,34849,5426,20467,1388,15295,46780,13832,13824,4.50
22,Querétaro,001,Amealco de Bonfil,0001,Total de la localidad urbana,0000,000,7698,4919,681,3170,129,2738,4943,1866,1865,4.12
22,Querétaro,001,Amealco de Bonfil,0001,Total AGEB urbana,0095,000,2119,1380,206,901,32,814,1298,523,522,4.05
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,001,70,53,10,37,*,43,27,*,*,3.33
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,002,33,17,*,10,0,25,8,*,*,3.67
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,003,84,46,7,27,*,27,57,*,*,4.20
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,004,118,81,20,45,*,62,56,*,*,3.58
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,005,53,37,13,18,0,22,31,*,*,3.31
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,006,15,11,3,6,*,*,14,*,*,3.75
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,007,107,76,17,51,0,53,54,*,*,3.34
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,008,19,13,0,12,0,18,0,*,*,4.75
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,009,23,13,*,12,0,4,19,*,*,3.29
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,010,21,13,*,11,0,3,18,*,*,5.25
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,011,33,23,3,18,6,12,21,*,*,4.71
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,012,41,20,*,13,0,13,28,*,*,5.86
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,013,0,0,0,0,0,0,0,*,*,0
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,014,183,96,8,67,7,58,124,*,*,4.82
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,015,50,30,6,19,0,14,36,*,*,4.17
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,016,185,130,15,83,0,61,124,*,*,4.40
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,017,8,*,*,*,*,*,*,*,*,*
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,018,23,12,3,10,0,11,12,*,*,4.60
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,019,10,6,0,4,0,3,7,*,*,3.33
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,020,0,0,0,0,0,0,0,0,0,0
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,021,3,*,*,*,*,*,*,*,*,*
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,022,82,49,7,24,*,17,65,*,*,3.90
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,023,63,35,5,19,3,27,36,*,*,4.85
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,025,39,28,*,20,0,12,27,*,*,4.33
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,026,27,20,6,11,0,10,17,*,*,3.86
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,027,28,21,4,14,0,15,13,*,*,7
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,028,44,32,5,21,*,10,34,*,*,4.40
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,029,61,41,3,24,*,13,48,*,*,3.59
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,030,28,24,6,14,0,14,14,*,*,3.50
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,031,39,25,0,17,0,28,11,*,*,4.88
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,032,24,18,*,13,0,10,14,*,*,3.43
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,033,0,0,0,0,0,0,0,*,*,0
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,035,117,75,16,38,*,48,69,*,*,4.68
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,037,13,11,*,8,0,10,3,*,*,3.25
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,038,60,37,4,21,*,21,35,*,*,4
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,039,92,65,5,49,3,47,45,*,*,3.68
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,040,0,0,0,0,0,0,0,*,*,0
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,047,36,24,4,20,0,24,12,*,*,4
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,051,0,0,0,0,0,0,0,0,0,0
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,0095,052,100,70,12,41,0,39,61,*,*,4
