ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
23,Quintana Roo,000,Quintana Roo,0000,Total de la entidad,0000,000,1325578,848755,63965,593121,19094,395186,896408,369326,363066,3.59
23,Quintana Roo,001,Cozumel,0000,Total del municipio,0000,000,79535,51526,4190,36993,1031,20570,57939,22201,21921,3.58
23,Quintana Roo,001,Cozumel,0001,Total de la localidad urbana,0000,000,77236,50104,4050,35961,1013,19965,56299,21537,21273,3.59
23,Quintana Roo,001,Cozumel,0001,Total AGEB urbana,0028,000,2738,2053,379,1373,14,914,1802,938,931,2.92
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,001,92,69,14,43,0,35,57,*,*,3.29
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,002,56,45,6,32,0,21,35,*,*,2.80
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,003,116,92,18,61,*,45,66,*,*,2.90
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,004,76,61,15,42,0,31,45,*,*,3.45
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,005,62,48,8,34,*,14,48,*,*,2.95
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,006,70,57,16,29,0,26,43,*,*,3.04
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,007,71,54,13,33,0,19,52,*,*,2.63
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,008,38,25,10,15,0,18,20,*,*,2.92
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,009,60,43,11,20,*,22,38,*,*,3.33
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,010,59,43,4,34,*,19,40,*,*,2.81
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,011,53,41,10,27,0,17,35,*,*,2.94
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,012,62,47,4,32,0,21,41,*,*,3.47
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,013,150,107,15,67,*,40,109,*,*,3.66
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,014,115,82,9,63,0,33,82,*,*,3.29
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,015,78,54,6,36,0,26,52,*,*,3.12
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,016,111,81,14,51,*,36,75,*,*,3.36
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,017,64,48,8,31,0,20,44,*,*,3.76
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,018,81,71,15,48,0,35,46,*,*,2.08
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,019,120,94,21,63,0,45,72,*,*,2.49
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,020,47,37,14,21,*,13,31,*,*,2.59
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,021,22,21,8,14,0,13,9,*,*,1.83
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,022,57,45,13,31,0,18,39,*,*,2.59
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,023,40,24,5,15,0,15,24,*,*,3.33
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,024,51,31,6,21,0,10,41,*,*,3.40
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,025,11,9,3,8,0,*,10,*,*,3.67
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,026,3,*,*,*,*,*,*,*,*,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,027,0,0,0,0,0,0,0,0,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,028,34,27,4,20,0,13,17,*,*,1.94
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,029,15,15,4,8,0,*,13,*,*,2.14
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,030,91,62,7,49,*,31,60,*,*,3.37
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,031,69,57,6,48,*,34,35,*,*,2.65
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,032,88,67,9,42,0,36,52,*,*,2.93
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,033,112,76,9,44,0,31,81,*,*,3.61
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,034,87,60,11,34,0,28,59,*,*,3.78
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,035,81,57,9,41,0,20,61,*,*,2.53
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,036,71,45,8,36,*,17,54,*,*,3.55
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,037,11,10,*,8,0,4,7,*,*,3.67
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,038,66,55,6,40,*,24,41,*,*,2.06
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,039,87,71,13,52,0,35,52,*,*,2.35
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,040,55,45,11,29,0,16,39,*,*,2.75
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,041,25,23,10,13,0,9,16,*,*,1.92
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,042,5,*,*,*,*,*,*,*,*,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,051,19,12,0,10,0,*,15,*,*,3.17
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,052,25,18,*,12,0,10,15,*,*,2.50
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,053,10,5,*,4,0,0,10,*,*,3.33
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,054,0,0,0,0,0,0,0,0,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,055,0,0,0,0,0,0,0,0,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,056,22,14,*,9,0,8,14,*,*,3.14
23,Quintana Roo,001,Cozumel,0001,Total AGEB urbana,0032,000,3550,2395,286,1727,22,1252,2282,1067,1062,3.32
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,001,25,17,6,13,0,5,20,*,*,2.50
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,002,65,44,5,33,0,23,42,*,*,3.10
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,003,141,88,12,71,0,31,110,*,*,2.88
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,004,32,21,5,14,0,7,25,*,*,3.56
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,005,84,54,3,40,0,37,47,*,*,3.65
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,006,0,0,0,0,0,0,0,0,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,007,48,35,*,22,0,18,30,*,*,2.40
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,008,19,14,*,11,0,0,19,*,*,2.38
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,009,78,58,4,45,0,27,51,*,*,2.69
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,010,136,84,8,61,0,51,85,*,*,4
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,011,90,62,10,42,0,35,55,*,*,3.46
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,012,96,65,6,49,0,50,46,*,*,3.10
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,013,99,62,5,49,*,29,70,*,*,3.41
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,014,124,73,11,54,0,40,83,*,*,3.65
