ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
24,San Luis Potosí,000,San Luis Potosí,0000,Total de la entidad,0000,000,2585518,1608514,257976,971734,53121,670273,1887156,639265,631587,4.05
24,San Luis Potosí,001,Ahualulco,0000,Total del municipio,0000,000,18644,10893,2256,5329,360,7384,11163,4201,4195,4.44
24,San Luis Potosí,001,Ahualulco,0001,Total de la localidad urbana,0000,000,4492,2634,459,1539,111,1424,3058,1034,1032,4.35
24,San Luis Potosí,001,Ahualulco,0001,Total AGEB urbana,0094,000,158,80,8,49,0,41,117,31,31,5.10
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0094,001,49,22,0,16,0,14,35,*,*,5.44
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0094,003,26,14,3,7,0,5,21,*,*,5.20
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0094,004,2,*,*,*,*,*,*,*,*,*
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0094,005,11,*,*,*,*,*,*,*,*,*
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0094,006,30,17,*,9,0,14,16,*,*,6
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0094,007,0,0,0,0,0,0,0,*,*,0
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0094,008,1,*,*,*,*,*,*,*,*,*
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0094,009,0,0,0,0,0,0,0,0,0,0
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0094,010,15,8,*,4,0,0,15,*,*,3.75
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0094,011,0,0,0,0,0,0,0,0,0,0
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0094,012,0,0,0,0,0,0,0,0,0,0
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0094,013,24,12,*,9,0,4,20,*,*,6
24,San Luis Potosí,001,Ahualulco,0001,Total AGEB urbana,0107,000,1823,1062,174,637,39,675,1140,426,424,4.29
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,001,77,42,7,27,*,25,52,*,*,4.53
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,002,60,38,*,22,*,16,43,*,*,4.29
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,003,24,11,*,7,0,8,16,*,*,4.80
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,004,49,25,*,12,0,8,41,*,*,4.08
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,005,94,59,9,44,0,22,72,*,*,4.70
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,006,40,18,*,10,0,17,23,*,*,8
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,007,36,23,5,12,0,20,16,*,*,4.50
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,008,75,43,6,24,0,22,52,*,*,4.69
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,009,51,35,9,23,*,23,28,*,*,3.64
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,010,88,53,16,41,4,49,39,*,*,4.63
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,011,44,25,7,15,*,*,42,*,*,4
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,012,49,29,10,14,*,15,34,*,*,3.50
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,013,17,14,*,10,*,7,10,*,*,3.40
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,014,0,0,0,0,0,0,0,0,0,0
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,015,7,*,*,*,*,*,*,*,*,*
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,016,6,*,*,*,*,*,*,*,*,*
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,017,41,27,*,18,4,8,33,*,*,4.56
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,018,36,22,6,17,*,15,21,*,*,4
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,019,95,48,8,34,7,46,46,*,*,4.38
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,020,114,73,15,38,0,34,80,*,*,4.75
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,021,24,16,6,8,*,8,16,*,*,3
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,022,76,43,8,23,*,29,47,*,*,5.07
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,023,15,13,3,6,0,14,*,*,*,3.75
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,024,0,0,0,0,0,0,0,*,*,0
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,025,38,23,4,11,0,27,11,*,*,4.22
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,026,37,16,*,12,*,33,*,*,*,3.78
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,027,0,0,0,0,0,0,0,0,0,0
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,028,23,15,0,8,3,9,14,*,*,3.83
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,029,5,*,*,*,*,*,*,*,*,*
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,030,25,11,*,9,*,7,18,*,*,5
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,031,85,51,6,23,0,27,58,*,*,4.47
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,032,39,25,3,10,0,7,32,*,*,3.55
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,033,83,54,11,37,*,33,50,*,*,4.61
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,034,13,7,3,3,0,13,0,*,*,4.33
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,035,42,21,*,10,*,7,35,*,*,3.82
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,036,18,12,4,6,0,*,16,*,*,2.57
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,037,0,0,0,0,0,0,0,0,0,0
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,038,156,89,5,58,*,50,106,*,*,3.32
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,039,61,29,*,18,*,44,17,*,*,6.78
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,040,58,32,3,13,*,8,50,*,*,5.27
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,042,0,0,0,0,0,0,0,*,*,0
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,043,9,5,0,4,*,7,*,*,*,3
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,044,6,*,*,*,*,*,*,*,*,*
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0107,045,7,*,*,*,*,*,*,*,*,*
24,San Luis Potosí,001,Ahualulco,0001,Total AGEB urbana,0111,000,2068,1259,247,718,60,580,1486,474,474,4.36
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,001,84,44,4,21,3,33,51,*,*,4.42
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,002,3,*,*,*,*,*,*,*,*,*
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,003,153,91,13,59,4,36,117,*,*,4.78
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,004,47,26,*,17,*,7,40,*,*,4.27
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,005,76,52,10,17,*,46,30,*,*,3.80
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,006,40,29,7,20,0,19,21,*,*,2.86
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,007,43,34,13,20,*,12,31,*,*,4.78
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,008,74,50,9,25,0,12,62,*,*,4.93
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,010,155,77,9,44,4,25,130,*,*,4.70
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,011,105,61,11,26,0,20,85,*,*,4.57
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,012,87,56,18,24,0,23,64,*,*,4.35
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,013,32,22,6,19,0,19,13,*,*,3.56
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,014,0,0,0,0,0,0,0,0,0,0
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,015,32,18,3,9,0,4,28,*,*,4
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,016,31,23,6,11,0,15,16,*,*,3.88
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,017,78,45,10,26,*,13,65,*,*,4.11
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,018,34,22,6,10,0,10,23,*,*,4.25
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,019,35,22,4,13,*,8,27,*,*,5
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,020,0,0,0,0,0,0,0,0,0,0
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,022,162,88,15,54,6,43,119,*,*,4.50
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,023,95,60,11,32,8,27,68,*,*,3.96
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,024,40,20,3,12,*,6,34,*,*,4.44
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,025,20,9,0,3,*,0,20,*,*,5
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,026,57,37,14,25,6,10,47,*,*,4.07
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,027,65,50,19,25,0,32,33,*,*,3.42
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,028,111,80,12,52,6,44,67,*,*,4.63
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,029,91,48,8,29,3,29,62,*,*,3.96
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,030,59,37,4,24,*,17,42,*,*,4.92
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,031,68,42,10,20,0,19,48,*,*,5.23
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,032,8,6,3,3,0,4,4,*,*,2.67
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,033,24,13,3,8,*,6,18,*,*,4
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,035,29,17,4,10,*,8,21,*,*,5.80
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,037,16,11,*,9,0,5,11,*,*,5.33
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,038,59,37,7,26,3,12,47,*,*,4.92
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,039,55,30,*,23,0,16,39,*,*,5
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0111,040,0,0,0,0,0,0,0,*,*,0
24,San Luis Potosí,001,Ahualulco,0001,Total AGEB urbana,0126,000,79,42,8,29,*,22,57,17,17,4.65
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0126,001,37,17,3,13,*,14,23,*,*,4.63
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0126,002,42,25,5,16,0,8,34,*,*,4.67
24,San Luis Potosí,001,Ahualulco,0001,Total AGEB urbana,0130,000,72,45,8,23,*,24,48,18,18,4
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0130,001,16,11,*,6,0,9,7,*,*,4
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0130,002,32,19,*,9,*,6,26,*,*,4.57
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0130,003,24,15,4,8,*,9,15,*,*,3.43
24,San Luis Potosí,001,Ahualulco,0001,Total AGEB urbana,0145,000,31,21,6,7,*,16,15,6,6,5.17
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0145,001,17,*,*,*,*,*,*,*,*,*
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0145,002,14,12,4,5,*,8,6,*,*,3.50
24,San Luis Potosí,001,Ahualulco,0001,Total AGEB urbana,015A,000,38,20,*,12,0,4,34,9,9,4.22
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,015A,001,30,15,*,12,0,3,27,*,*,4.29
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,015A,002,8,*,*,*,*,*,*,*,*,*
24,San Luis Potosí,001,Ahualulco,0001,Total AGEB urbana,0164,000,56,33,3,22,4,22,34,12,12,4.67
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0164,001,27,14,0,11,3,13,14,*,*,6.75
24,San Luis Potosí,001,Ahualulco,0001,Ahualulco del Sonido 13,0164,002,19,12,*,7,*,5,14,*,*,3.80
