ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
25,Sinaloa,000,Sinaloa,0000,Total de la entidad,0000,000,2767761,1802469,266725,1107112,43458,677204,2074048,713296,709960,3.87
25,Sinaloa,001,Ahome,0000,Total del municipio,0000,000,416299,274141,38379,166814,8476,97438,317129,108911,108603,3.81
25,Sinaloa,001,Ahome,0001,Total de la localidad urbana,0000,000,256613,170789,21752,109396,4987,60812,194551,70009,69761,3.66
25,Sinaloa,001,Ahome,0001,Total AGEB urbana,0012,000,1149,781,134,533,37,378,768,273,273,4.21
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,001,118,79,16,51,*,40,78,*,*,4.37
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,002,56,39,4,24,*,23,33,*,*,4
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,003,20,11,*,11,*,8,12,*,*,6.67
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,004,0,0,0,0,0,0,0,0,0,0
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,005,58,40,6,28,*,19,39,*,*,4.46
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,008,51,37,7,22,0,8,43,*,*,3.92
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,010,80,53,10,47,5,30,50,*,*,4.44
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,011,0,0,0,0,0,0,0,0,0,0
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,013,0,0,0,0,0,0,0,0,0,0
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,014,73,55,9,29,*,23,50,*,*,4.06
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,015,58,36,3,25,*,32,26,*,*,5.27
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,016,45,27,7,17,0,7,38,*,*,3.21
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,020,80,56,10,37,3,33,47,*,*,4
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,021,0,0,0,0,0,0,0,0,0,0
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,022,0,0,0,0,0,0,0,0,0,0
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,024,76,58,14,38,5,21,55,*,*,4.22
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,025,8,*,*,*,*,*,*,*,*,*
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,030,0,0,0,0,0,0,0,0,0,0
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,032,7,*,*,*,*,*,*,*,*,*
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,034,3,*,*,*,*,*,*,*,*,*
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,036,33,23,5,17,*,23,10,*,*,4.13
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,037,23,17,3,11,*,3,20,*,*,3.83
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,038,31,18,*,13,*,6,25,*,*,4.43
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,039,90,65,11,46,3,23,67,*,*,4.09
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,040,26,20,*,15,3,9,17,*,*,4.33
25,Sinaloa,001,Ahome,0001,Los Mochis,0012,041,27,20,4,14,*,9,18,*,*,3.86
