ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
27,Tabasco,000,Tabasco,0000,Total de la entidad,0000,000,2238603,1406957,167927,816385,39215,564426,1645246,567233,559114,3.95
27,Tabasco,001,Balancán,0000,Total del municipio,0000,000,56739,35031,5329,19352,459,7906,48668,15035,14997,3.77
27,Tabasco,001,Balancán,0001,Total de la localidad urbana,0000,000,13030,8516,1150,5297,108,1263,11662,3636,3606,3.59
27,Tabasco,001,Balancán,0001,Total AGEB urbana,0401,000,2107,1417,206,873,23,204,1888,607,603,3.47
27,Tabasco,001,Balancán,0001,Balancán,0401,001,57,43,11,27,*,*,56,*,*,3
27,Tabasco,001,Balancán,0001,Balancán,0401,002,40,30,11,17,0,0,40,*,*,3.33
27,Tabasco,001,Balancán,0001,Balancán,0401,003,30,23,8,13,0,*,28,*,*,3
27,Tabasco,001,Balancán,0001,Balancán,0401,004,54,38,9,24,*,3,48,*,*,3.19
27,Tabasco,001,Balancán,0001,Balancán,0401,005,123,79,8,53,4,21,101,*,*,3.42
27,Tabasco,001,Balancán,0001,Balancán,0401,006,43,29,7,21,*,8,35,*,*,3.58
27,Tabasco,001,Balancán,0001,Balancán,0401,007,56,36,4,18,*,7,46,*,*,4.42
27,Tabasco,001,Balancán,0001,Balancán,0401,008,115,69,13,26,0,0,115,*,*,3.71
27,Tabasco,001,Balancán,0001,Balancán,0401,009,71,39,6,19,0,0,71,*,*,3.94
27,Tabasco,001,Balancán,0001,Balancán,0401,011,54,39,7,21,0,0,53,*,*,4.15
27,Tabasco,001,Balancán,0001,Balancán,0401,012,23,16,*,13,*,6,17,*,*,2.09
27,Tabasco,001,Balancán,0001,Balancán,0401,013,13,10,3,7,0,*,11,*,*,2.60
27,Tabasco,001,Balancán,0001,Balancán,0401,014,72,47,6,37,3,12,60,*,*,3.43
27,Tabasco,001,Balancán,0001,Balancán,0401,015,84,60,3,30,0,14,70,*,*,3.36
27,Tabasco,001,Balancán,0001,Balancán,0401,016,43,32,7,23,0,14,29,*,*,2.53
27,Tabasco,001,Balancán,0001,Balancán,0401,017,74,48,4,35,0,5,66,*,*,3.09
27,Tabasco,001,Balancán,0001,Balancán,0401,018,88,59,6,36,0,7,81,*,*,3.52
27,Tabasco,001,Balancán,0001,Balancán,0401,019,45,33,*,17,0,4,41,*,*,3.46
27,Tabasco,001,Balancán,0001,Balancán,0401,020,36,23,*,14,0,13,23,*,*,3.60
27,Tabasco,001,Balancán,0001,Balancán,0401,021,71,49,5,32,0,7,64,*,*,3.94
27,Tabasco,001,Balancán,0001,Balancán,0401,022,80,61,12,42,3,8,72,*,*,3.33
27,Tabasco,001,Balancán,0001,Balancán,0401,023,117,79,13,47,3,6,111,*,*,3.66
27,Tabasco,001,Balancán,0001,Balancán,0401,024,135,87,9,60,*,8,124,*,*,3.88
27,Tabasco,001,Balancán,0001,Balancán,0401,025,121,83,9,59,3,8,113,*,*,3.18
27,Tabasco,001,Balancán,0001,Balancán,0401,026,12,6,0,4,0,*,10,*,*,3
27,Tabasco,001,Balancán,0001,Balancán,0401,027,27,16,3,8,0,0,27,*,*,3.86
27,Tabasco,001,Balancán,0001,Balancán,0401,028,46,31,*,17,0,10,36,*,*,4.18
27,Tabasco,001,Balancán,0001,Balancán,0401,029,39,24,3,16,0,*,38,*,*,3.25
27,Tabasco,001,Balancán,0001,Balancán,0401,030,27,22,5,13,0,*,25,*,*,3.38
27,Tabasco,001,Balancán,0001,Balancán,0401,031,16,9,3,6,0,0,16,*,*,2.67
27,Tabasco,001,Balancán,0001,Balancán,0401,032,92,67,10,43,0,11,81,*,*,3.68
27,Tabasco,001,Balancán,0001,Balancán,0401,033,82,49,7,30,0,3,79,*,*,3.42
27,Tabasco,001,Balancán,0001,Balancán,0401,034,24,15,*,7,0,6,18,*,*,3.43
27,Tabasco,001,Balancán,0001,Balancán,0401,035,0,0,0,0,0,0,0,0,0,0
27,Tabasco,001,Balancán,0001,Balancán,0401,036,4,*,*,*,*,*,*,*,*,*
27,Tabasco,001,Balancán,0001,Balancán,0401,038,46,31,*,18,0,8,38,*,*,4.60
27,Tabasco,001,Balancán,0001,Balancán,0401,039,0,0,0,0,0,0,0,0,0,0
27,Tabasco,001,Balancán,0001,Balancán,0401,040,22,17,3,9,0,0,22,*,*,3.14
27,Tabasco,001,Balancán,0001,Balancán,0401,041,13,7,0,4,0,5,8,*,*,4.33
27,Tabasco,001,Balancán,0001,Balancán,0401,042,0,0,0,0,0,0,0,0,0,0
27,Tabasco,001,Balancán,0001,Balancán,0401,043,12,9,0,5,0,0,12,*,*,4
27,Tabasco,001,Balancán,0001,Total AGEB urbana,0416,000,1993,1356,240,839,13,176,1795,601,595,3.32
27,Tabasco,001,Balancán,0001,Balancán,0416,001,58,40,10,23,0,16,42,*,*,3.22
27,Tabasco,001,Balancán,0001,Balancán,0416,002,39,28,5,17,0,5,34,*,*,2.79
27,Tabasco,001,Balancán,0001,Balancán,0416,003,30,25,4,15,0,7,23,*,*,2.73
27,Tabasco,001,Balancán,0001,Balancán,0416,004,34,23,5,11,0,*,33,*,*,3.09
27,Tabasco,001,Balancán,0001,Balancán,0416,005,49,30,3,22,0,8,41,*,*,3.50
27,Tabasco,001,Balancán,0001,Balancán,0416,006,61,41,8,26,0,*,55,*,*,3.05
27,Tabasco,001,Balancán,0001,Balancán,0416,007,49,40,12,31,*,4,45,*,*,3.27
27,Tabasco,001,Balancán,0001,Balancán,0416,008,54,40,5,22,0,*,52,*,*,2.70
27,Tabasco,001,Balancán,0001,Balancán,0416,009,56,37,7,26,*,7,49,*,*,3.73
27,Tabasco,001,Balancán,0001,Balancán,0416,010,24,16,3,9,*,*,19,*,*,2.63
27,Tabasco,001,Balancán,0001,Balancán,0416,011,24,20,5,12,0,6,18,*,*,3
27,Tabasco,001,Balancán,0001,Balancán,0416,012,24,19,7,11,0,3,21,*,*,4
27,Tabasco,001,Balancán,0001,Balancán,0416,013,0,0,0,0,0,0,0,0,0,0
27,Tabasco,001,Balancán,0001,Balancán,0416,014,5,*,*,*,*,*,*,*,*,*
27,Tabasco,001,Balancán,0001,Balancán,0416,015,83,47,4,30,0,4,75,*,*,4.21
27,Tabasco,001,Balancán,0001,Balancán,0416,016,28,16,3,11,0,*,27,*,*,3.11
27,Tabasco,001,Balancán,0001,Balancán,0416,017,50,33,4,22,0,0,50,*,*,3.33
