ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0789,035,134,96,20,54,*,24,110,*,*,4.47
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0789,036,30,20,3,11,0,3,27,*,*,4.29
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0789,037,47,31,5,19,*,8,39,*,*,3.92
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0789,038,0,0,0,0,0,0,0,0,0,0
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0789,040,21,11,*,9,0,0,21,*,*,5.25
28,Tamaulipas,041,Victoria,0001,Total AGEB urbana,0793,000,2907,2175,459,1326,40,404,2455,881,874,3.27
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0793,001,131,96,8,65,*,26,101,*,*,3.05
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0793,002,51,39,8,27,*,11,40,*,*,3.92
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0793,003,95,65,12,39,0,8,87,*,*,3.52
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0793,004,84,61,17,38,*,7,77,*,*,3.23
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0793,005,83,60,9,42,0,18,65,*,*,3.46
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0793,006,19,15,*,8,0,*,14,*,*,2.71
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0793,007,103,76,8,44,0,13,89,*,*,3.32
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0793,008,75,54,15,23,0,17,58,*,*,3.26
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0793,009,83,61,15,31,0,6,72,*,*,3.77
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0793,010,104,82,19,49,*,20,84,*,*,3.47
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0793,011,78,65,23,34,3,22,53,*,*,3.75
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0793,012,99,64,11,36,0,8,91,*,*,3.54
28,Tamaulipas,041,Victoria,0001,Ciudad Victoria,0793,013,124,96,23,51,4,9,115,*,*,3.54
