ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
29,Tlaxcala,000,Tlaxcala,0000,Total de la entidad,0000,000,1169936,733554,98229,457049,22526,441828,720545,274243,272507,4.27
29,Tlaxcala,001,Amaxac de Guerrero,0000,Total del municipio,0000,000,9875,6394,901,4022,233,3467,6327,2381,2361,4.16
29,Tlaxcala,001,Amaxac de Guerrero,0001,Total de la localidad urbana,0000,000,9114,5914,834,3704,220,3336,5706,2191,2173,4.17
29,Tlaxcala,001,Amaxac de Guerrero,0001,Total AGEB urbana,003A,000,1096,685,77,437,36,366,719,255,252,4.31
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,003A,001,196,119,11,77,8,58,138,*,*,4.26
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,003A,002,108,64,7,46,*,48,53,*,*,4.25
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,003A,003,21,13,*,6,*,4,17,*,*,4.20
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,003A,004,61,40,*,25,3,33,28,*,*,5.08
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,003A,005,21,14,*,8,0,*,18,*,*,4.20
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,003A,006,52,33,7,19,3,12,40,*,*,5.78
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,003A,007,103,65,6,46,4,37,66,*,*,4.29
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,003A,008,122,74,12,48,3,42,77,*,*,4.10
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,003A,009,107,64,5,42,3,54,53,*,*,4.28
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,003A,010,123,83,9,53,*,15,108,*,*,4.10
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,003A,011,76,44,5,32,*,14,62,*,*,4
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,003A,012,0,0,0,0,0,0,0,0,0,0
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,003A,013,106,72,9,35,5,47,59,*,*,4.42
29,Tlaxcala,001,Amaxac de Guerrero,0001,Total AGEB urbana,0044,000,886,586,74,342,25,340,545,215,215,4.12
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,001,55,37,4,23,*,26,29,*,*,4.23
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,002,236,143,17,82,13,99,136,*,*,4.21
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,003,22,18,*,12,0,13,9,*,*,3.67
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,004,52,31,*,20,3,32,20,*,*,6.50
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,005,58,40,5,20,*,22,36,*,*,4.46
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,006,0,0,0,0,0,0,0,0,0,0
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,007,0,0,0,0,0,0,0,0,0,0
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,009,125,91,13,56,*,56,69,*,*,4.17
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,010,10,6,*,3,0,4,6,*,*,3.33
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,011,0,0,0,0,0,0,0,0,0,0
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,012,0,0,0,0,0,0,0,*,*,0
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,013,0,0,0,0,0,0,0,*,*,0
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,014,149,102,13,60,*,42,107,*,*,3.55
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,015,0,0,0,0,0,0,0,0,0,0
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,016,0,0,0,0,0,0,0,0,0,0
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,017,0,0,0,0,0,0,0,0,0,0
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,018,36,23,4,14,*,17,19,*,*,4
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,019,0,0,0,0,0,0,0,0,0,0
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,020,0,0,0,0,0,0,0,0,0,0
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,021,11,10,*,6,0,0,11,*,*,3.67
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,022,31,20,*,13,0,5,26,*,*,3.88
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,023,9,*,*,*,*,*,*,*,*,*
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0044,024,92,61,8,31,*,24,68,*,*,4.18
29,Tlaxcala,001,Amaxac de Guerrero,0001,Total AGEB urbana,0059,000,4234,2772,399,1731,101,1466,2726,1040,1028,4.08
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,001,195,123,10,86,4,64,125,*,*,4.20
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,002,130,80,8,54,4,56,74,*,*,4.19
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,003,126,97,12,58,8,44,81,*,*,3.94
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,004,129,87,21,53,0,49,77,*,*,3.82
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,005,165,106,22,57,3,69,93,*,*,3.95
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,006,138,96,16,74,4,30,108,*,*,4.06
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,007,136,92,11,62,4,47,89,*,*,3.58
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,008,59,37,11,21,0,25,31,*,*,4
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,009,173,115,27,66,9,61,109,*,*,3.62
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,010,120,79,4,53,3,25,94,*,*,4.62
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,011,134,78,7,54,4,44,90,*,*,4.06
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,012,163,104,13,51,4,51,109,*,*,4
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,013,26,16,3,13,*,7,19,*,*,3.71
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,014,64,40,5,22,*,21,43,*,*,5.33
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,015,84,60,15,30,0,42,42,*,*,4.67
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,016,96,67,13,45,*,25,71,*,*,4
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,017,205,135,17,83,6,64,138,*,*,4.30
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0059,018,167,112,19,75,8,61,106,*,*,4.18
