ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,0017,Benito Juárez,039A,019,109,78,8,53,5,31,78,*,*,3.63
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,0017,Benito Juárez,039A,020,117,83,11,45,*,42,75,*,*,4.18
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,0017,Benito Juárez,039A,021,83,51,9,23,0,*,79,*,*,3.81
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,0017,Benito Juárez,039A,022,46,29,*,11,0,0,46,*,*,3.83
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,0017,Benito Juárez,039A,023,35,27,7,20,0,20,15,*,*,3.50
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,0017,Benito Juárez,039A,027,0,0,0,0,0,0,0,0,0,0
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,0017,Benito Juárez,039A,028,75,52,10,29,5,14,61,*,*,3.57
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,0017,Benito Juárez,039A,029,0,0,0,0,0,0,0,0,0,0
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,0017,Benito Juárez,039A,030,51,39,8,25,3,13,38,*,*,3
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,0017,Benito Juárez,039A,031,80,52,6,33,*,21,59,*,*,3.33
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,0017,Benito Juárez,039A,033,46,33,*,16,*,11,35,*,*,3.83
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,0017,Benito Juárez,039A,034,38,25,3,15,0,15,23,*,*,4.22
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,0017,Benito Juárez,039A,035,126,76,6,56,3,67,59,*,*,4.06
