ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
31,Yucatán,000,Yucatán,0000,Total de la entidad,0000,000,1955577,1291470,196474,796386,20579,470812,1464077,507248,503106,3.85
31,Yucatán,001,Abalá,0000,Total del municipio,0000,000,6356,4068,631,2440,75,2442,3904,1608,1606,3.95
31,Yucatán,001,Abalá,0001,Total de la localidad urbana,0000,000,1890,1285,209,770,31,592,1291,525,523,3.60
31,Yucatán,001,Abalá,0001,Total AGEB urbana,0107,000,779,513,69,320,17,244,529,212,210,3.68
31,Yucatán,001,Abalá,0001,Abalá,0107,001,44,28,*,21,4,12,32,*,*,4.40
31,Yucatán,001,Abalá,0001,Abalá,0107,002,28,20,4,14,*,16,12,*,*,3.11
31,Yucatán,001,Abalá,0001,Abalá,0107,003,32,23,*,17,*,14,18,*,*,4.57
31,Yucatán,001,Abalá,0001,Abalá,0107,004,46,32,4,19,*,14,32,*,*,4.18
31,Yucatán,001,Abalá,0001,Abalá,0107,005,26,14,0,8,0,8,18,*,*,4.33
31,Yucatán,001,Abalá,0001,Abalá,0107,006,17,12,4,7,0,7,10,*,*,3.40
31,Yucatán,001,Abalá,0001,Abalá,0107,007,27,19,4,12,*,5,22,*,*,3.38
31,Yucatán,001,Abalá,0001,Abalá,0107,008,59,38,8,20,0,16,43,*,*,3.47
31,Yucatán,001,Abalá,0001,Abalá,0107,009,12,9,3,6,0,*,11,*,*,3
31,Yucatán,001,Abalá,0001,Abalá,0107,010,0,0,0,0,0,0,0,0,0,0
31,Yucatán,001,Abalá,0001,Abalá,0107,011,34,26,5,16,3,3,31,*,*,3.09
31,Yucatán,001,Abalá,0001,Abalá,0107,012,44,26,0,13,*,9,35,*,*,4.40
31,Yucatán,001,Abalá,0001,Abalá,0107,013,0,0,0,0,0,0,0,0,0,0
31,Yucatán,001,Abalá,0001,Abalá,0107,014,12,9,0,4,0,9,3,*,*,3
31,Yucatán,001,Abalá,0001,Abalá,0107,015,7,*,*,*,*,*,*,*,*,*
31,Yucatán,001,Abalá,0001,Abalá,0107,016,63,44,8,27,0,28,35,*,*,3.94
31,Yucatán,001,Abalá,0001,Abalá,0107,017,67,45,6,28,0,39,28,*,*,3.53
31,Yucatán,001,Abalá,0001,Abalá,0107,018,48,32,6,18,0,14,34,*,*,4
31,Yucatán,001,Abalá,0001,Abalá,0107,019,0,0,0,0,0,0,0,0,0,0
31,Yucatán,001,Abalá,0001,Abalá,0107,020,24,11,*,7,0,*,17,*,*,2.57
31,Yucatán,001,Abalá,0001,Abalá,0107,021,0,0,0,0,0,0,0,0,0,0
31,Yucatán,001,Abalá,0001,Abalá,0107,022,0,0,0,0,0,0,0,0,0,0
31,Yucatán,001,Abalá,0001,Abalá,0107,023,21,13,*,8,*,0,21,*,*,3.50
31,Yucatán,001,Abalá,0001,Abalá,0107,024,24,17,0,12,0,*,22,*,*,4
31,Yucatán,001,Abalá,0001,Abalá,0107,025,12,7,0,5,0,5,7,*,*,3
31,Yucatán,001,Abalá,0001,Abalá,0107,027,19,11,0,11,0,4,15,*,*,3.80
31,Yucatán,001,Abalá,0001,Abalá,0107,028,51,33,6,22,0,26,25,*,*,3.19
31,Yucatán,001,Abalá,0001,Abalá,0107,029,47,26,*,17,0,*,45,*,*,4.27
31,Yucatán,001,Abalá,0001,Abalá,0107,030,5,*,*,*,*,*,*,*,*,*
31,Yucatán,001,Abalá,0001,Abalá,0107,031,5,*,*,*,*,*,*,*,*,*
31,Yucatán,001,Abalá,0001,Abalá,0107,032,0,0,0,0,0,0,0,0,0,0
31,Yucatán,001,Abalá,0001,Abalá,0107,033,5,*,*,*,*,*,*,*,*,*
31,Yucatán,001,Abalá,0001,Total AGEB urbana,0111,000,1066,743,137,433,14,325,741,298,298,3.58
31,Yucatán,001,Abalá,0001,Abalá,0111,001,0,0,0,0,0,0,0,0,0,0
31,Yucatán,001,Abalá,0001,Abalá,0111,002,46,36,8,24,4,31,15,*,*,3.07
31,Yucatán,001,Abalá,0001,Abalá,0111,003,24,19,6,14,*,11,13,*,*,2.40
31,Yucatán,001,Abalá,0001,Abalá,0111,005,57,45,14,24,0,18,39,*,*,3.56
31,Yucatán,001,Abalá,0001,Abalá,0111,006,0,0,0,0,0,0,0,0,0,0
