ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
32,Zacatecas,000,Zacatecas,0000,Total de la entidad,0000,000,1490668,929259,152152,529537,27836,454088,1020487,377018,372662,3.96
32,Zacatecas,001,Apozol,0000,Total del municipio,0000,000,6314,4117,1015,2191,104,1437,4851,1698,1696,3.72
32,Zacatecas,001,Apozol,0001,Total de la localidad urbana,0000,000,2626,1677,356,935,49,520,2100,694,693,3.79
32,Zacatecas,001,Apozol,0001,Total AGEB urbana,0116,000,1389,905,200,516,38,189,1194,379,379,3.66
32,Zacatecas,001,Apozol,0001,Apozol,0116,001,10,9,5,5,0,4,6,*,*,2
32,Zacatecas,001,Apozol,0001,Apozol,0116,002,52,29,7,15,*,0,52,*,*,3.71
32,Zacatecas,001,Apozol,0001,Apozol,0116,003,153,95,17,52,0,5,146,*,*,3.73
32,Zacatecas,001,Apozol,0001,Apozol,0116,004,35,26,11,11,0,6,29,*,*,3.18
32,Zacatecas,001,Apozol,0001,Apozol,0116,005,32,19,3,12,*,5,27,*,*,4
32,Zacatecas,001,Apozol,0001,Apozol,0116,006,4,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0116,007,77,55,13,37,12,17,60,*,*,4.53
32,Zacatecas,001,Apozol,0001,Apozol,0116,008,58,37,5,23,0,22,36,*,*,4.46
32,Zacatecas,001,Apozol,0001,Apozol,0116,009,21,12,3,6,0,10,11,*,*,3
32,Zacatecas,001,Apozol,0001,Apozol,0116,010,0,0,0,0,0,0,0,0,0,0
32,Zacatecas,001,Apozol,0001,Apozol,0116,011,0,0,0,0,0,0,0,0,0,0
32,Zacatecas,001,Apozol,0001,Apozol,0116,012,19,16,3,11,0,*,18,*,*,4.75
32,Zacatecas,001,Apozol,0001,Apozol,0116,013,0,0,0,0,0,0,0,*,*,0
32,Zacatecas,001,Apozol,0001,Apozol,0116,014,46,35,11,20,0,10,36,*,*,3.29
32,Zacatecas,001,Apozol,0001,Apozol,0116,015,37,30,7,19,8,3,33,*,*,3.70
32,Zacatecas,001,Apozol,0001,Apozol,0116,016,64,45,12,24,7,6,58,*,*,3.05
32,Zacatecas,001,Apozol,0001,Apozol,0116,017,28,16,3,5,0,3,25,*,*,4
32,Zacatecas,001,Apozol,0001,Apozol,0116,018,27,18,9,5,0,0,25,*,*,2.70
32,Zacatecas,001,Apozol,0001,Apozol,0116,019,90,56,14,26,0,11,79,*,*,4.09
32,Zacatecas,001,Apozol,0001,Apozol,0116,020,28,24,5,15,0,4,24,*,*,3.50
32,Zacatecas,001,Apozol,0001,Apozol,0116,021,66,46,16,27,*,22,44,*,*,3.14
32,Zacatecas,001,Apozol,0001,Apozol,0116,022,139,97,28,54,*,21,118,*,*,3.31
32,Zacatecas,001,Apozol,0001,Apozol,0116,023,0,0,0,0,0,0,0,0,0,0
32,Zacatecas,001,Apozol,0001,Apozol,0116,024,13,7,0,4,0,*,12,*,*,3.25
32,Zacatecas,001,Apozol,0001,Apozol,0116,025,1,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0116,026,20,12,0,10,0,3,17,*,*,4
32,Zacatecas,001,Apozol,0001,Apozol,0116,027,5,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0116,028,0,0,0,0,0,0,0,0,0,0
32,Zacatecas,001,Apozol,0001,Apozol,0116,029,18,13,5,*,0,*,17,*,*,2.57
32,Zacatecas,001,Apozol,0001,Apozol,0116,030,56,29,6,21,*,0,56,*,*,4.67
32,Zacatecas,001,Apozol,0001,Apozol,0116,031,24,12,*,9,0,5,19,*,*,4.80
32,Zacatecas,001,Apozol,0001,Apozol,0116,032,9,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0116,033,4,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0116,034,9,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0116,035,29,20,*,15,3,0,29,*,*,3.22
32,Zacatecas,001,Apozol,0001,Apozol,0116,036,56,29,*,16,*,3,53,*,*,4.31
32,Zacatecas,001,Apozol,0001,Apozol,0116,037,16,8,*,3,0,*,15,*,*,4
32,Zacatecas,001,Apozol,0001,Apozol,0116,038,1,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0116,039,7,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0116,040,6,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0116,041,68,40,5,26,*,*,66,*,*,4.86
32,Zacatecas,001,Apozol,0001,Apozol,0116,042,13,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0116,043,22,14,3,5,0,5,17,*,*,2.75
32,Zacatecas,001,Apozol,0001,Apozol,0116,044,26,15,*,11,0,6,20,*,*,3.71
32,Zacatecas,001,Apozol,0001,Total AGEB urbana,0120,000,1014,654,140,355,11,246,768,268,267,3.79
32,Zacatecas,001,Apozol,0001,Apozol,0120,001,5,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0120,002,63,39,5,28,*,16,47,*,*,4.85
32,Zacatecas,001,Apozol,0001,Apozol,0120,003,25,16,6,7,0,0,25,*,*,2.78
32,Zacatecas,001,Apozol,0001,Apozol,0120,005,9,6,4,*,*,0,9,*,*,3
32,Zacatecas,001,Apozol,0001,Apozol,0120,006,45,29,10,12,0,6,39,*,*,3.75
32,Zacatecas,001,Apozol,0001,Apozol,0120,007,45,33,8,13,0,*,43,*,*,4.09
32,Zacatecas,001,Apozol,0001,Apozol,0120,009,5,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0120,011,34,27,6,18,*,15,19,*,*,3.40
32,Zacatecas,001,Apozol,0001,Apozol,0120,012,51,35,12,15,0,11,40,*,*,3
32,Zacatecas,001,Apozol,0001,Apozol,0120,013,52,33,5,25,0,22,30,*,*,3.71
32,Zacatecas,001,Apozol,0001,Apozol,0120,014,32,22,6,13,*,16,16,*,*,4
32,Zacatecas,001,Apozol,0001,Apozol,0120,015,80,54,10,23,*,24,56,*,*,4.21
32,Zacatecas,001,Apozol,0001,Apozol,0120,016,36,23,*,11,0,7,29,*,*,4
32,Zacatecas,001,Apozol,0001,Apozol,0120,017,98,60,11,35,0,34,64,*,*,3.77
32,Zacatecas,001,Apozol,0001,Apozol,0120,018,31,19,5,10,0,4,27,*,*,4.43
32,Zacatecas,001,Apozol,0001,Apozol,0120,019,69,49,12,28,0,15,54,*,*,4.06
32,Zacatecas,001,Apozol,0001,Apozol,0120,020,5,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0120,021,26,17,*,10,*,9,17,*,*,2.89
32,Zacatecas,001,Apozol,0001,Apozol,0120,022,48,32,9,15,*,24,24,*,*,3.20
32,Zacatecas,001,Apozol,0001,Apozol,0120,025,19,13,0,6,0,8,11,*,*,4.75
32,Zacatecas,001,Apozol,0001,Apozol,0120,026,54,39,13,21,3,3,51,*,*,3.79
32,Zacatecas,001,Apozol,0001,Apozol,0120,028,0,0,0,0,0,0,0,0,0,0
32,Zacatecas,001,Apozol,0001,Apozol,0120,030,52,31,3,21,0,0,52,*,*,4.33
32,Zacatecas,001,Apozol,0001,Apozol,0120,031,42,19,0,10,0,6,36,*,*,4.20
32,Zacatecas,001,Apozol,0001,Apozol,0120,032,17,11,5,4,0,4,13,*,*,2.43
32,Zacatecas,001,Apozol,0001,Apozol,0120,033,32,18,*,10,0,3,29,*,*,4.57
32,Zacatecas,001,Apozol,0001,Apozol,0120,034,30,13,0,8,0,16,14,*,*,4.29
32,Zacatecas,001,Apozol,0001,Apozol,0120,036,9,7,3,5,0,0,9,*,*,2.25
32,Zacatecas,001,Apozol,0001,Total AGEB urbana,0135,000,92,42,3,27,0,36,56,19,19,4.84
32,Zacatecas,001,Apozol,0001,Apozol,0135,001,17,11,0,7,0,4,13,*,*,4.25
32,Zacatecas,001,Apozol,0001,Apozol,0135,002,27,11,3,7,0,5,22,*,*,4.50
32,Zacatecas,001,Apozol,0001,Apozol,0135,003,9,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0135,004,24,11,0,6,0,11,13,*,*,6
32,Zacatecas,001,Apozol,0001,Apozol,0135,005,10,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Apozol,0135,007,5,*,*,*,*,*,*,*,*,*
32,Zacatecas,001,Apozol,0001,Total AGEB urbana,014A,000,124,74,13,36,0,42,82,27,27,4.59
32,Zacatecas,001,Apozol,0001,Apozol,014A,001,38,22,*,14,0,18,20,*,*,4.75
32,Zacatecas,001,Apozol,0001,Apozol,014A,002,18,9,*,*,0,7,11,*,*,6
32,Zacatecas,001,Apozol,0001,Apozol,014A,003,26,18,3,10,0,9,17,*,*,5.20
32,Zacatecas,001,Apozol,0001,Apozol,014A,004,28,17,5,6,0,5,23,*,*,4
32,Zacatecas,001,Apozol,0001,Apozol,014A,005,8,*,*,*,*,*,*,*,*,*
