ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_18YMAS,P_60YMAS,PEA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,001,14,11,*,7,0,5,9,*,*,2.80
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,002,28,13,0,11,0,16,12,*,*,5.60
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,003,40,21,0,11,0,21,17,*,*,5
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,004,37,26,*,20,0,20,17,*,*,5.29
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,005,20,9,0,5,0,17,3,*,*,4
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,006,47,21,*,13,0,17,30,*,*,5.22
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,007,45,23,0,11,0,19,26,*,*,4.09
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,008,43,24,0,10,0,26,17,*,*,5.38
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,009,32,14,0,10,0,11,21,*,*,4.57
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,010,1,*,*,*,*,*,*,*,*,*
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,011,28,12,*,3,0,16,12,*,*,4.67
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,012,24,13,0,9,0,7,17,*,*,3.43
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,013,45,24,*,16,*,36,9,*,*,5
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,014,21,12,*,5,*,18,3,*,*,4.20
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,015,28,14,*,7,0,10,18,*,*,4
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,016,35,21,*,16,0,19,16,*,*,3.89
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,017,55,27,5,15,0,16,39,*,*,3.93
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,018,13,7,0,5,0,4,9,*,*,4.33
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,019,34,19,3,5,0,18,16,*,*,3.78
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,020,37,19,3,10,0,8,29,*,*,4.11
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,021,0,0,0,0,0,0,0,0,0,0
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,022,0,0,0,0,0,0,0,0,0,0
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,023,7,*,*,*,*,*,*,*,*,*
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,024,0,0,0,0,0,0,0,0,0,0
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,025,7,*,*,*,*,*,*,*,*,*
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,225A,026,5,*,*,*,*,*,*,*,*,*
26,Sonora,055,San Luis Río Colorado,0001,Total AGEB urbana,2264,000,0,0,0,0,0,0,0,0,0,0
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2264,001,0,0,0,0,0,0,0,0,0,0
26,Sonora,055,San Luis Río Colorado,0001,Total AGEB urbana,2279,000,378,193,12,139,13,197,181,90,88,4.02
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2279,001,38,12,0,12,*,26,12,*,*,4.67
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2279,002,17,6,0,5,0,13,4,*,*,5.67
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2279,003,14,10,*,6,0,9,5,*,*,2.80
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2279,004,36,20,*,16,0,22,14,*,*,3.60
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2279,005,16,12,0,7,*,12,4,*,*,4
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2279,006,31,15,0,11,0,3,28,*,*,3.88
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2279,007,35,16,0,11,*,15,20,*,*,5
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2279,008,30,12,0,11,*,9,21,*,*,4.29
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2279,009,25,13,*,10,*,19,6,*,*,5
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2279,010,32,19,*,13,0,15,17,*,*,3.56
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2279,011,42,27,*,18,4,28,14,*,*,4.20
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2279,012,39,21,3,14,*,13,26,*,*,4.33
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2279,013,23,10,3,5,0,13,10,*,*,2.88
26,Sonora,055,San Luis Río Colorado,0001,Total AGEB urbana,2283,000,439,238,28,181,29,212,227,103,103,4.26
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,001,24,13,*,14,3,8,16,*,*,4
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,002,65,30,5,21,*,31,34,*,*,5
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,003,18,8,0,7,0,9,9,*,*,4.50
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,004,25,12,0,9,*,13,12,*,*,4.17
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,005,33,15,*,11,0,14,19,*,*,5.50
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,006,40,21,4,15,6,20,20,*,*,4.44
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,007,34,17,0,15,4,23,11,*,*,4.25
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,008,24,14,*,6,0,19,5,*,*,4
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,009,25,18,*,9,0,15,10,*,*,3.13
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,010,36,22,5,16,0,12,24,*,*,3.60
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,011,26,14,0,11,*,7,19,*,*,4.33
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,012,15,9,0,8,0,*,14,*,*,3
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,013,31,20,4,16,6,20,11,*,*,6.20
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,014,14,9,*,7,3,7,7,*,*,3.50
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2283,015,29,16,*,16,3,13,16,*,*,4.14
26,Sonora,055,San Luis Río Colorado,0001,Total AGEB urbana,2298,000,14,7,0,7,0,4,10,3,3,4.67
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2298,001,14,7,0,7,0,4,10,*,*,4.67
26,Sonora,055,San Luis Río Colorado,0001,Total AGEB urbana,2300,000,115,61,*,42,*,51,64,27,27,4.26
26,Sonora,055,San Luis Río Colorado,0001,San Luis Río Colorado,2300,001,23,14,0,11,*,4,19,*,*,3.83
