,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBMAS,POBFEM,REL_H_M,P_18YMAS,P_60YMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,P_18A24,PEA,PE_INAC,POCUPADA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP,GRAPROES,CVE_ENT,Entidad federativa,CVE_MUN,Nombre del municipio,CVE_LOC,Nombre de la localidad,Folio de la AGEB,Población total ,Viviendas particulares habitadas,Población de 15 años y más con educación básica incompleta,Población de 15 a 24 años que no asiste a la escuela,Población sin derechohabiencia a servicios de salud,Personas que viven en hacinamiento,Viviendas que no disponen de excusado o sanitario,Viviendas que no disponen de lavadora,Viviendas que no disponen de refrigerador,Viviendas que no disponen de teléfono fijo,Población de 15 años o más analfabeta,Población de 6 a 14 años que no asiste a la escuela,Viviendas con piso de tierra,Viviendas que no disponen de agua entubada de la red pública,Viviendas que no disponen de drenaje,Viviendas que no disponen de energía eléctrica,Grado de rezago social (clases latentes) 
0,9,Distrito Federal,2,Azcapotzalco,1,Total AGEB urbana,003A,0,4638,2249,2389,94,3418,902,157,137,347,202,197,478,1947,1855,1818,129,878,3571,1183,1124,4,10,9,Distrito Federal,2.0,Azcapotzalco,1.0,AZCAPOTZALCO,090020001003A,4638.0,1124.0,31.7,46.2,18.9,0.8,0.3,11.4,1.6,15.6,2.3,2.9,0.0,0.1,0.1,0.0,Bajo
1,9,Distrito Federal,2,Azcapotzalco,1,Total AGEB urbana,003A,0,4638,2249,2389,94,3418,902,157,137,347,202,197,478,1947,1855,1818,129,878,3571,1183,1124,4,10,15,México,30.0,Chiconcuac,1.0,CHICONCUAC DE JUÁREZ,150300001003A,5793.0,1111.0,29.7,61.3,58.7,10.7,1.6,38.2,22.2,60.3,2.1,3.1,2.8,1.6,1.5,0.6,Bajo
2,15,México,30,Chiconcuac,1,Total AGEB urbana,003A,0,5793,2875,2918,99,3713,450,330,381,694,310,325,786,2373,1966,2304,69,3400,2353,1124,1111,5,9,9,Distrito Federal,2.0,Azcapotzalco,1.0,AZCAPOTZALCO,090020001003A,4638.0,1124.0,31.7,46.2,18.9,0.8,0.3,11.4,1.6,15.6,2.3,2.9,0.0,0.1,0.1,0.0,Bajo
3,15,México,30,Chiconcuac,1,Total AGEB urbana,003A,0,5793,2875,2918,99,3713,450,330,381,694,310,325,786,2373,1966,2304,69,3400,2353,1124,1111,5,9,15,México,30.0,Chiconcuac,1.0,CHICONCUAC DE JUÁREZ,150300001003A,5793.0,1111.0,29.7,61.3,58.7,10.7,1.6,38.2,22.2,60.3,2.1,3.1,2.8,1.6,1.5,0.6,Bajo
4,9,Distrito Federal,2,Azcapotzalco,1,Total AGEB urbana,010A,0,3385,1546,1839,84,2499,735,79,106,225,120,150,289,1264,1498,1199,65,746,2432,866,798,4,11,9,Distrito Federal,2.0,Azcapotzalco,1.0,AZCAPOTZALCO,090020001010A,3385.0,798.0,24.0,36.0,22.0,0.3,0.5,7.0,1.6,6.4,1.3,2.0,0.1,0.0,0.0,0.0,Bajo
5,9,Distrito Federal,2,Azcapotzalco,1,Total AGEB urbana,010A,0,3385,1546,1839,84,2499,735,79,106,225,120,150,289,1264,1498,1199,65,746,2432,866,798,4,11,15,México,30.0,Chiconcuac,1.0,CHICONCUAC DE JUÁREZ,150300001010A,196.0,42.0,34.1,80.6,54.1,9.5,14.3,47.6,21.4,78.6,4.8,0.0,4.8,21.4,21.4,4.8,Medio
6,9,Distrito Federal,2,Azcapotzalco,1,Total AGEB urbana,010A,0,3385,1546,1839,84,2499,735,79,106,225,120,150,289,1264,1498,1199,65,746,2432,866,798,4,11,15,México,72.0,Rayón,1.0,SANTA MARÍA RAYÓN,150720001010A,113.0,25.0,37.7,77.8,38.1,16.0,4.0,52.0,72.0,88.0,2.9,0.0,12.0,0.0,4.0,0.0,Medio
7,9,Distrito Federal,2,Azcapotzalco,1,Total AGEB urbana,010A,0,3385,1546,1839,84,2499,735,79,106,225,120,150,289,1264,1498,1199,65,746,2432,866,798,4,11,15,México,93.0,Tepetlaoxtoc,3.0,CONCEPCIÓN JOLALPAN,150930003010A,2588.0,604.0,34.8,55.1,45.0,5.4,2.2,29.8,15.4,58.1,3.3,1.7,2.2,4.6,1.7,0.5,Bajo
8,15,México,30,Chiconcuac,1,Total AGEB urbana,010A,0,196,91,105,87,121,10,10,15,31,14,5,26,85,55,79,6,106,90,42,42,5,9,9,Distrito Federal,2.0,Azcapotzalco,1.0,AZCAPOTZALCO,090020001010A,3385.0,798.0,24.0,36.0,22.0,0.3,0.5,7.0,1.6,6.4,1.3,2.0,0.1,0.0,0.0,0.0,Bajo
9,15,México,30,Chiconcuac,1,Total AGEB urbana,010A,0,196,91,105,87,121,10,10,15,31,14,5,26,85,55,79,6,106,90,42,42,5,9,15,México,30.0,Chiconcuac,1.0,CHICONCUAC DE JUÁREZ,150300001010A,196.0,42.0,34.1,80.6,54.1,9.5,14.3,47.6,21.4,78.6,4.8,0.0,4.8,21.4,21.4,4.8,Medio
10,15,México,30,Chiconcuac,1,Total AGEB urbana,010A,0,196,91,105,87,121,10,10,15,31,14,5,26,85,55,79,6,106,90,42,42,5,9,15,México,72.0,Rayón,1.0,SANTA MARÍA RAYÓN,150720001010A,113.0,25.0,37.7,77.8,38.1,16.0,4.0,52.0,72.0,88.0,2.9,0.0,12.0,0.0,4.0,0.0,Medio
11,15,México,30,Chiconcuac,1,Total AGEB urbana,010A,0,196,91,105,87,121,10,10,15,31,14,5,26,85,55,79,6,106,90,42,42,5,9,15,México,93.0,Tepetlaoxtoc,3.0,CONCEPCIÓN JOLALPAN,150930003010A,2588.0,604.0,34.8,55.1,45.0,5.4,2.2,29.8,15.4,58.1,3.3,1.7,2.2,4.6,1.7,0.5,Bajo
12,15,México,72,Rayón,1,Total AGEB urbana,010A,0,113,61,52,117,64,*,8,8,21,7,5,13,41,35,36,5,43,69,25,25,5,8,9,Distrito Federal,2.0,Azcapotzalco,1.0,AZCAPOTZALCO,090020001010A,3385.0,798.0,24.0,36.0,22.0,0.3,0.5,7.0,1.6,6.4,1.3,2.0,0.1,0.0,0.0,0.0,Bajo
13,15,México,72,Rayón,1,Total AGEB urbana,010A,0,113,61,52,117,64,*,8,8,21,7,5,13,41,35,36,5,43,69,25,25,5,8,15,México,30.0,Chiconcuac,1.0,CHICONCUAC DE JUÁREZ,150300001010A,196.0,42.0,34.1,80.6,54.1,9.5,14.3,47.6,21.4,78.6,4.8,0.0,4.8,21.4,21.4,4.8,Medio
14,15,México,72,Rayón,1,Total AGEB urbana,010A,0,113,61,52,117,64,*,8,8,21,7,5,13,41,35,36,5,43,69,25,25,5,8,15,México,72.0,Rayón,1.0,SANTA MARÍA RAYÓN,150720001010A,113.0,25.0,37.7,77.8,38.1,16.0,4.0,52.0,72.0,88.0,2.9,0.0,12.0,0.0,4.0,0.0,Medio
15,15,México,72,Rayón,1,Total AGEB urbana,010A,0,113,61,52,117,64,*,8,8,21,7,5,13,41,35,36,5,43,69,25,25,5,8,15,México,93.0,Tepetlaoxtoc,3.0,CONCEPCIÓN JOLALPAN,150930003010A,2588.0,604.0,34.8,55.1,45.0,5.4,2.2,29.8,15.4,58.1,3.3,1.7,2.2,4.6,1.7,0.5,Bajo
16,15,México,93,Tepetlaoxtoc,3,Total AGEB urbana,010A,0,2588,1227,1361,90,1653,228,168,153,311,155,148,306,1011,925,989,22,1165,1419,604,604,4,9,9,Distrito Federal,2.0,Azcapotzalco,1.0,AZCAPOTZALCO,090020001010A,3385.0,798.0,24.0,36.0,22.0,0.3,0.5,7.0,1.6,6.4,1.3,2.0,0.1,0.0,0.0,0.0,Bajo
17,15,México,93,Tepetlaoxtoc,3,Total AGEB urbana,010A,0,2588,1227,1361,90,1653,228,168,153,311,155,148,306,1011,925,989,22,1165,1419,604,604,4,9,15,México,30.0,Chiconcuac,1.0,CHICONCUAC DE JUÁREZ,150300001010A,196.0,42.0,34.1,80.6,54.1,9.5,14.3,47.6,21.4,78.6,4.8,0.0,4.8,21.4,21.4,4.8,Medio
18,15,México,93,Tepetlaoxtoc,3,Total AGEB urbana,010A,0,2588,1227,1361,90,1653,228,168,153,311,155,148,306,1011,925,989,22,1165,1419,604,604,4,9,15,México,72.0,Rayón,1.0,SANTA MARÍA RAYÓN,150720001010A,113.0,25.0,37.7,77.8,38.1,16.0,4.0,52.0,72.0,88.0,2.9,0.0,12.0,0.0,4.0,0.0,Medio
